Index	Heure start
:33
3	19:02:33
6	19:02:33
8	19:06:38
15	19:06:38
11	19:06:38
12	19:06:38
14	19:06:38
13	19:06:38
10	19:06:38
9	19:06:38
16	19:10:19
19	19:10:19
17	19:10:19
22	19:10:19
20	19:10:19
18	19:10:19
21	19:10:19
23	19:10:19
30	19:14:06
24	19:14:06
27	19:14:06
28	19:14:06
25	19:14:06
29	19:14:06
31	19:14:06
26	19:14:06
32	19:17:07
34	19:17:07
35	19:17:07
38	19:17:07
33	19:17:07
36	19:17:07
37	19:17:07
39	19:17:07
41	19:20:55
40	19:20:55
44	19:20:55
42	19:20:55
43	19:20:55
47	19:20:55
46	19:20:55
45	19:20:55
48	19:23:53
52	19:23:53
53	19:23:53
55	19:23:53
54	19:23:53
51	19:23:53
50	19:23:53
49	19:23:53
56	19:26:51
59	19:26:51
57	19:26:51
58	19:26:51
60	19:26:51
61	19:26:51
62	19:26:51
63	19:26:51
66	19:29:59
67	19:29:59
69	19:29:59
64	19:29:59
65	19:29:59
70	19:29:59
71	19:29:59
68	19:29:59
74	19:34:16
78	19:34:16
72	19:34:16
73	19:34:16
76	19:34:16
75	19:34:16
79	19:34:16
77	19:34:16
82	19:38:48
83	19:38:48
81	19:38:48
80	19:38:48
86	19:38:48
85	19:38:48
87	19:38:48
84	19:38:48
88	19:43:17
93	19:43:17
91	19:43:17
89	19:43:17
90	19:43:17
95	19:43:17
92	19:43:17
94	19:43:17
99	19:47:55
101	19:47:55
96	19:47:55
97	19:47:55
102	19:47:55
100	19:47:55
98	19:47:55
103	19:47:55
107	19:52:49
105	19:52:49
108	19:52:49
109	19:52:49
104	19:52:49
106	19:52:49
110	19:52:49
111	19:52:49
113	19:57:28
116	19:57:28
118	19:57:28
117	19:57:28
115	19:57:28
112	19:57:28
114	19:57:28
119	19:57:28
120	20:02:14
122	20:02:14
121	20:02:14
126	20:02:14
123	20:02:14
125	20:02:14
124	20:02:14
127	20:02:14
128	20:07:15
131	20:07:15
132	20:07:15
134	20:07:15
129	20:07:15
133	20:07:15
135	20:07:15
130	20:07:15
136	20:12:07
137	20:12:07
138	20:12:07
139	20:12:07
141	20:12:07
142	20:12:07
143	20:12:07
140	20:12:07
144	20:17:02
