Index	Heure start	Heure end	Durée
5	19:02:33	19:05:24	0:2:50
3	19:02:33	19:05:25	0:2:51
1	19:02:33	19:05:32	0:2:58
6	19:02:33	19:05:36	0:3:3
7	19:02:33	19:06:10	0:3:36
4	19:02:33	19:06:15	0:3:41
0	19:02:33	19:06:22	0:3:48
2	19:02:33	19:06:33	0:3:59
11	19:06:38	19:09:24	0:2:46
14	19:06:38	19:09:25	0:2:47
12	19:06:38	19:09:28	0:2:50
8	19:06:38	19:09:29	0:2:51
15	19:06:38	19:09:29	0:2:51
10	19:06:38	19:09:29	0:2:51
9	19:06:38	19:09:30	0:2:52
13	19:06:38	19:10:17	0:3:39
22	19:10:19	19:13:06	0:2:47
19	19:10:19	19:13:11	0:2:51
18	19:10:19	19:13:11	0:2:52
16	19:10:19	19:13:12	0:2:52
17	19:10:19	19:13:13	0:2:53
23	19:10:19	19:13:34	0:3:14
21	19:10:19	19:13:57	0:3:38
20	19:10:19	19:14:04	0:3:45
27	19:14:06	19:16:55	0:2:48
31	19:14:06	19:16:55	0:2:48
25	19:14:06	19:16:55	0:2:48
24	19:14:06	19:16:56	0:2:49
26	19:14:06	19:16:57	0:2:50
30	19:14:06	19:16:57	0:2:50
28	19:14:06	19:16:57	0:2:50
29	19:14:06	19:17:05	0:2:58
36	19:17:07	19:19:53	0:2:46
35	19:17:07	19:19:55	0:2:47
33	19:17:07	19:19:57	0:2:50
39	19:17:07	19:19:57	0:2:50
32	19:17:07	19:19:58	0:2:50
37	19:17:07	19:20:00	0:2:53
38	19:17:07	19:20:04	0:2:57
34	19:17:07	19:20:54	0:3:47
41	19:20:55	19:23:45	0:2:49
42	19:20:55	19:23:46	0:2:50
40	19:20:55	19:23:48	0:2:52
45	19:20:55	19:23:50	0:2:54
44	19:20:55	19:23:50	0:2:54
43	19:20:55	19:23:51	0:2:55
47	19:20:55	19:23:51	0:2:55
46	19:20:55	19:23:52	0:2:56
53	19:23:53	19:26:38	0:2:45
55	19:23:53	19:26:43	0:2:50
50	19:23:53	19:26:43	0:2:50
49	19:23:53	19:26:45	0:2:51
51	19:23:53	19:26:46	0:2:52
52	19:23:53	19:26:47	0:2:53
48	19:23:53	19:26:49	0:2:55
54	19:23:53	19:26:50	0:2:57
58	19:26:51	19:29:40	0:2:48
57	19:26:51	19:29:40	0:2:48
56	19:26:51	19:29:42	0:2:50
62	19:26:51	19:29:42	0:2:50
59	19:26:51	19:29:42	0:2:51
61	19:26:51	19:29:44	0:2:52
60	19:26:51	19:29:48	0:2:57
63	19:26:51	19:29:58	0:3:6
71	19:29:59	19:32:49	0:2:50
68	19:29:59	19:32:49	0:2:50
66	19:29:59	19:32:56	0:2:57
70	19:29:59	19:33:13	0:3:13
65	19:29:59	19:33:48	0:3:48
64	19:29:59	19:33:49	0:3:50
69	19:29:59	19:33:55	0:3:55
67	19:29:59	19:34:16	0:4:17
73	19:34:16	19:37:08	0:2:51
72	19:34:16	19:37:13	0:2:56
79	19:34:16	19:37:56	0:3:40
