Index	edge	1	2	3	4	5	6	7	8	9	finesse_moy	finesse_max	Area	Reward
0	3.352e-02	6.373e-02	1.028e-01	9.963e-02	4.747e-02	-2.794e-02	-8.360e-02	-4.352e-03	4.399e-01	-5.043e-02	2.234e-02	2.240e-02	1.233e-03	2.234e-02
0	1.230e-02	4.468e-02	4.314e-02	1.109e-01	6.642e-02	-4.320e-02	-5.450e-02	-2.260e-02	6.132e-01	-2.461e-02	2.158e-02	2.159e-02	1.018e-03	1.522e-02
0	3.194e-02	4.821e-02	1.133e-01	1.037e-01	4.302e-02	-4.001e-02	-5.097e-02	-3.558e-02	7.638e-01	-2.376e-03	2.397e-02	2.399e-02	1.254e-03	2.397e-02
0	2.853e-02	3.088e-02	9.870e-02	7.699e-02	1.065e-01	-6.691e-02	-4.791e-02	-6.571e-02	7.078e-01	1.313e-01	2.744e-02	2.755e-02	1.370e-03	1.003e-02
0	1.525e-02	4.594e-02	9.047e-03	1.136e-01	9.592e-02	-5.051e-02	-1.531e-02	-2.096e-02	5.481e-01	2.566e-02	2.341e-02	2.424e-02	8.541e-04	-1.563e-02
0	4.812e-02	1.553e-02	7.149e-02	4.607e-02	1.148e-01	-7.914e-02	-5.532e-02	-1.374e-02	7.631e-01	-9.090e-03	1.411e-02	1.516e-02	1.052e-03	1.411e-02
0	1.687e-02	5.383e-02	1.965e-02	5.858e-02	1.193e-01	-5.508e-02	-6.639e-02	-1.799e-02	7.477e-01	9.540e-02	2.426e-02	2.585e-02	1.002e-03	1.471e-02
0	3.241e-02	3.138e-02	8.706e-02	1.032e-01	1.446e-01	0.000e+00	-4.551e-02	-1.016e-02	4.625e-01	-1.855e-02	1.675e-02	1.862e-02	1.087e-03	1.677e-02
1	3.336e-02	6.214e-02	1.155e-01	1.138e-01	4.535e-02	-5.275e-02	-8.354e-02	-4.831e-03	6.980e-01	-2.558e-02	2.053e-02	2.054e-02	1.362e-03	4.682e-03
1	3.326e-02	4.571e-02	9.838e-02	1.147e-01	6.030e-02	-6.383e-02	-7.357e-02	-9.433e-03	3.000e-01	-3.340e-02	2.038e-02	2.039e-02	1.297e-03	1.750e-02
1	3.667e-02	5.267e-02	1.065e-01	9.324e-02	7.724e-02	-1.876e-02	-8.093e-02	-9.546e-03	5.860e-01	-3.967e-02	2.222e-02	2.225e-02	1.238e-03	2.222e-02
1	2.691e-02	2.634e-02	8.853e-02	1.088e-01	8.604e-02	-2.410e-02	-6.416e-02	-9.272e-03	7.436e-01	-5.323e-02	1.963e-02	1.965e-02	1.099e-03	1.963e-02
1	2.429e-02	5.794e-02	9.538e-02	1.059e-01	8.257e-02	-1.842e-02	-7.318e-02	-8.873e-02	8.000e-01	5.590e-02	2.227e-02	2.233e-02	1.498e-03	-2.087e-02
1	3.517e-02	2.175e-02	1.169e-01	1.004e-01	1.075e-01	0.000e+00	-6.468e-02	-1.706e-02	7.496e-01	-2.348e-02	2.063e-02	2.063e-02	1.183e-03	2.063e-02
1	3.238e-02	7.000e-02	1.141e-01	1.024e-01	9.608e-02	-2.451e-02	-7.603e-02	-6.435e-03	3.000e-01	-9.854e-03	2.357e-02	2.359e-02	1.346e-03	1.080e-02
1	2.753e-02	5.353e-02	9.917e-02	7.866e-02	1.410e-01	0.000e+00	-4.713e-02	-1.626e-02	4.320e-01	-7.288e-02	1.238e-02	1.350e-02	1.126e-03	1.240e-02
2	2.739e-02	1.429e-02	1.122e-01	1.096e-01	5.862e-02	-3.045e-02	-6.107e-02	-1.029e-02	7.355e-01	-4.031e-02	2.218e-02	2.218e-02	1.115e-03	2.218e-02
2	2.964e-02	6.097e-02	5.285e-02	1.058e-01	1.002e-01	-8.000e-02	-6.894e-02	-3.522e-02	4.326e-01	-2.362e-03	1.536e-02	1.537e-02	1.335e-03	4.791e-03
2	1.705e-02	3.236e-02	1.152e-01	1.098e-01	1.355e-02	0.000e+00	-7.693e-02	-7.701e-03	6.256e-01	-6.057e-02	2.176e-02	2.177e-02	1.061e-03	2.176e-02
