Index	edge	1	2	3	4	5	6	7	8	9	finesse_moy	finesse_max	Area	Reward
0	2.652e-02	5.440e-02	4.776e-02	6.120e-02	9.344e-02	-1.535e-02	-6.640e-02	-6.295e-03	7.292e-01	-1.813e-02	2.116e-02	2.117e-02	6.172e-04	3.486e-03
0	1.256e-02	3.316e-02	1.090e-01	3.813e-02	6.217e-02	-2.730e-02	-6.006e-02	-2.182e-02	7.552e-01	-1.155e-02	2.650e-02	2.651e-02	6.653e-04	1.844e-02
0	2.258e-02	5.804e-02	4.177e-02	1.045e-01	5.360e-02	-3.014e-02	-2.478e-02	-9.961e-03	7.723e-01	-5.063e-02	2.503e-02	2.511e-02	5.679e-04	-2.506e-03
0	3.871e-02	5.216e-02	0.000e+00	6.879e-02	6.344e-02	-5.731e-02	-6.868e-02	0.000e+00	7.632e-01	-2.540e-02	2.045e-02	2.048e-02	5.576e-04	-9.146e-03
0	7.922e-03	6.537e-02	9.618e-02	1.144e-01	9.680e-03	-6.134e-02	-2.964e-02	-2.863e-02	7.341e-01	8.266e-02	2.691e-02	2.694e-02	7.771e-04	2.692e-02
0	1.356e-02	4.496e-02	9.824e-02	1.029e-01	7.137e-02	-7.605e-02	-7.782e-02	-3.417e-03	5.468e-01	-2.665e-02	2.063e-02	2.064e-02	8.564e-04	2.063e-02
0	3.484e-02	6.321e-02	1.010e-01	9.054e-02	8.515e-02	-4.576e-02	-5.658e-02	-2.707e-02	7.502e-01	1.936e-01	3.395e-02	3.489e-02	9.013e-04	2.617e-02
0	1.694e-02	6.572e-02	8.102e-02	9.938e-02	5.463e-02	-5.983e-02	-5.599e-02	-9.415e-03	7.643e-01	2.613e-01	3.820e-02	3.979e-02	8.206e-04	3.820e-02
1	1.109e-02	6.908e-02	9.856e-02	1.080e-01	6.811e-02	-6.483e-02	-7.640e-02	-8.696e-03	7.744e-01	-4.389e-02	1.934e-02	1.937e-02	8.895e-04	1.392e-02
1	1.862e-02	7.000e-02	4.785e-02	1.144e-01	8.620e-02	-6.488e-02	-4.010e-02	-9.993e-03	7.946e-01	-2.683e-02	2.018e-02	2.019e-02	7.408e-04	2.017e-02
1	8.360e-03	4.167e-02	7.239e-02	4.265e-02	4.588e-02	-6.391e-02	-3.633e-02	-5.364e-03	7.419e-01	1.896e-01	3.910e-02	3.912e-02	5.848e-04	1.494e-02
1	1.427e-02	5.641e-02	5.440e-02	1.045e-01	5.063e-02	-5.111e-02	-7.925e-02	-5.578e-03	7.591e-01	1.552e-01	3.186e-02	3.242e-02	7.638e-04	3.186e-02
1	5.000e-03	6.908e-02	1.012e-01	9.448e-02	1.713e-02	-5.879e-02	-4.689e-02	-7.843e-03	5.933e-01	1.607e-01	3.325e-02	3.418e-02	7.621e-04	3.325e-02
1	1.336e-02	7.000e-02	7.365e-02	9.920e-02	9.150e-02	-3.735e-02	-5.759e-02	-4.912e-02	4.092e-01	1.937e-01	3.069e-02	3.227e-02	8.816e-04	2.685e-02
1	1.899e-02	7.000e-02	8.386e-02	9.883e-02	5.517e-02	-5.710e-02	-4.268e-02	-6.693e-02	7.749e-01	2.931e-01	3.512e-02	3.676e-02	9.360e-04	2.042e-02
1	1.378e-02	6.804e-02	8.740e-02	1.113e-01	4.655e-02	-7.857e-02	-6.932e-02	-4.115e-02	7.649e-01	3.000e-01	3.342e-02	3.538e-02	9.838e-04	9.134e-03
2	2.151e-02	6.571e-02	9.167e-02	1.024e-01	5.342e-02	-5.450e-02	-8.323e-02	-6.844e-03	4.969e-01	-1.440e-02	2.299e-02	2.304e-02	8.562e-04	2.299e-02
2	1.081e-02	6.221e-02	3.799e-02	1.150e-01	4.476e-02	-2.926e-02	-5.998e-02	-6.808e-02	7.285e-01	-1.922e-02	2.102e-02	2.103e-02	7.804e-04	2.102e-02
2	1.666e-02	5.255e-02	9.224e-02	1.100e-01	4.489e-02	-6.062e-02	-6.619e-02	-4.168e-02	3.000e-01	5.022e-02	2.367e-02	2.367e-02	8.877e-04	1.862e-02
2	2.086e-02	5.828e-02	1.041e-01	9.743e-02	6.582e-02	-5.539e-02	-2.730e-02	-8.753e-03	7.360e-01	9.210e-02	3.145e-02	3.145e-02	7.663e-04	3.144e-02
2	5.000e-03	6.473e-02	5.419e-02	9.284e-02	0.000e+00	-5.625e-02	-5.716e-02	-5.651e-02	6.241e-01	1.963e-01	3.037e-02	3.102e-02	7.683e-04	3.036e-02
