Index	Heure start	Heure end	Durée
0	19:05:37	19:08:28	0:2:50
1	19:05:37	19:08:28	0:2:50
6	19:05:37	19:08:28	0:2:51
5	19:05:37	19:08:29	0:2:52
7	19:05:37	19:08:31	0:2:53
3	19:05:37	19:08:33	0:2:55
4	19:05:37	19:09:24	0:3:46
2	19:05:37	19:09:44	0:4:7
11	19:09:49	19:12:44	0:2:54
15	19:09:49	19:12:46	0:2:56
10	19:09:49	19:12:54	0:3:4
12	19:09:49	19:13:20	0:3:30
14	19:09:49	19:13:37	0:3:47
9	19:09:49	19:13:47	0:3:57
8	19:09:49	19:13:52	0:4:2
13	19:09:49	19:14:00	0:4:10
18	19:14:02	19:16:51	0:2:49
21	19:14:02	19:16:52	0:2:49
22	19:14:02	19:16:56	0:2:53
16	19:14:02	19:16:57	0:2:54
20	19:14:02	19:17:37	0:3:35
19	19:14:02	19:17:55	0:3:53
17	19:14:02	19:18:22	0:4:19
23	19:14:02	19:18:30	0:4:27
30	19:18:32	19:21:25	0:2:53
25	19:18:32	19:21:30	0:2:58
31	19:18:32	19:21:31	0:2:59
26	19:18:32	19:21:32	0:3:0
24	19:18:32	19:22:05	0:3:33
27	19:18:32	19:22:07	0:3:35
29	19:18:32	19:22:44	0:4:11
28	19:18:32	19:23:00	0:4:28
36	19:23:01	19:26:07	0:3:5
33	19:23:01	19:26:38	0:3:36
34	19:23:01	19:26:50	0:3:49
39	19:23:01	19:27:11	0:4:9
35	19:23:01	19:27:15	0:4:13
38	19:23:01	19:27:33	0:4:31
37	19:23:01	19:27:43	0:4:41
32	19:23:01	19:27:45	0:4:44
47	19:27:47	19:30:44	0:2:57
42	19:27:47	19:31:27	0:3:40
45	19:27:47	19:31:46	0:3:58
43	19:27:47	19:31:51	0:4:4
40	19:27:47	19:31:57	0:4:10
46	19:27:47	19:32:05	0:4:18
44	19:27:47	19:32:06	0:4:19
41	19:27:47	19:32:21	0:4:34
48	19:32:22	19:36:16	0:3:54
53	19:32:22	19:36:22	0:3:59
49	19:32:22	19:36:23	0:4:0
55	19:32:22	19:36:24	0:4:1
54	19:32:22	19:36:36	0:4:13
51	19:32:22	19:36:50	0:4:27
52	19:32:22	19:36:54	0:4:31
50	19:32:22	19:37:04	0:4:41
59	19:37:05	19:40:10	0:3:5
56	19:37:05	19:41:03	0:3:58
63	19:37:05	19:41:11	0:4:6
60	19:37:05	19:41:12	0:4:7
62	19:37:05	19:41:22	0:4:17
58	19:37:05	19:41:25	0:4:20
61	19:37:05	19:41:32	0:4:27
57	19:37:05	19:41:34	0:4:29
64	19:41:35	19:45:53	0:4:18
67	19:41:35	19:45:54	0:4:19
68	19:41:35	19:45:56	0:4:20
66	19:41:35	19:45:58	0:4:23
65	19:41:35	19:46:09	0:4:34
71	19:41:35	19:46:14	0:4:38
69	19:41:35	19:46:17	0:4:41
70	19:41:35	19:46:28	0:4:53
75	19:46:28	19:50:39	0:4:10
72	19:46:28	19:50:49	0:4:20
74	19:46:28	19:50:58	0:4:29
73	19:46:28	19:51:05	0:4:37
79	19:46:28	19:51:07	0:4:38
77	19:46:28	19:51:08	0:4:39
76	19:46:28	19:51:14	0:4:45
78	19:46:28	19:51:14	0:4:46
81	19:51:15	19:55:37	0:4:22
82	19:51:15	19:55:44	0:4:29
85	19:51:15	19:55:48	0:4:32
86	19:51:15	19:55:48	0:4:33
80	19:51:15	19:55:51	0:4:36
84	19:51:15	19:55:52	0:4:37
87	19:51:15	19:55:52	0:4:37
83	19:51:15	19:55:53	0:4:37
89	19:55:53	20:00:21	0:4:28
95	19:55:53	20:00:25	0:4:31
90	19:55:53	20:00:26	0:4:32
93	19:55:53	20:00:26	0:4:33
88	19:55:53	20:00:30	0:4:37
94	19:55:53	20:00:30	0:4:37
92	19:55:53	20:00:33	0:4:40
91	19:55:53	20:00:37	0:4:44
102	20:00:38	20:05:02	0:4:24
103	20:00:38	20:05:12	0:4:34
98	20:00:38	20:05:14	0:4:36
96	20:00:38	20:05:20	0:4:42
99	20:00:38	20:05:20	0:4:42
97	20:00:38	20:05:25	0:4:47
101	20:00:38	20:05:27	0:4:49
100	20:00:38	20:05:27	0:4:49
111	20:05:27	20:10:03	0:4:36
109	20:05:27	20:10:09	0:4:41
105	20:05:27	20:10:12	0:4:44
107	20:05:27	20:10:14	0:4:46
108	20:05:27	20:10:14	0:4:46
110	20:05:27	20:10:20	0:4:52
104	20:05:27	20:10:21	0:4:53
106	20:05:27	20:10:24	0:4:56
113	20:10:25	20:15:04	0:4:39
116	20:10:25	20:15:08	0:4:43
114	20:10:25	20:15:09	0:4:44
118	20:10:25	20:15:13	0:4:48
119	20:10:25	20:15:16	0:4:51
117	20:10:25	20:15:19	0:4:54
112	20:10:25	20:15:21	0:4:56
115	20:10:25	20:15:23	0:4:58
127	20:15:23	20:20:10	0:4:46
125	20:15:23	20:20:12	0:4:48
121	20:15:23	20:20:13	0:4:49
123	20:15:23	20:20:13	0:4:49
126	20:15:23	20:20:15	0:4:52
120	20:15:23	20:20:16	0:4:52
124	20:15:23	20:20:17	0:4:53
122	20:15:23	20:20:19	0:4:55
133	20:20:19	20:25:02	0:4:42
134	20:20:19	20:25:05	0:4:45
132	20:20:19	20:25:16	0:4:56
130	20:20:19	20:25:17	0:4:57
129	20:20:19	20:25:17	0:4:58
