Index	Heure start
:37
2	19:05:37
6	19:05:37
5	19:05:37
7	19:05:37
4	19:05:37
3	19:05:37
11	19:09:49
13	19:09:49
14	19:09:49
12	19:09:49
8	19:09:49
9	19:09:49
10	19:09:49
15	19:09:49
19	19:14:02
20	19:14:02
22	19:14:02
23	19:14:02
18	19:14:02
16	19:14:02
21	19:14:02
17	19:14:02
27	19:18:32
31	19:18:32
25	19:18:32
29	19:18:32
24	19:18:32
28	19:18:32
30	19:18:32
26	19:18:32
37	19:23:01
34	19:23:01
39	19:23:01
32	19:23:01
35	19:23:01
36	19:23:01
33	19:23:01
38	19:23:01
40	19:27:47
47	19:27:47
44	19:27:47
42	19:27:47
41	19:27:47
46	19:27:47
43	19:27:47
45	19:27:47
49	19:32:22
54	19:32:22
51	19:32:22
52	19:32:22
50	19:32:22
48	19:32:22
53	19:32:22
55	19:32:22
58	19:37:05
61	19:37:05
56	19:37:05
57	19:37:05
60	19:37:05
62	19:37:05
63	19:37:05
59	19:37:05
65	19:41:35
64	19:41:35
68	19:41:35
66	19:41:35
67	19:41:35
69	19:41:35
71	19:41:35
70	19:41:35
77	19:46:28
78	19:46:28
73	19:46:28
74	19:46:28
76	19:46:28
75	19:46:28
72	19:46:28
79	19:46:28
82	19:51:15
81	19:51:15
84	19:51:15
87	19:51:15
80	19:51:15
85	19:51:15
86	19:51:15
83	19:51:15
89	19:55:53
90	19:55:53
88	19:55:53
92	19:55:53
95	19:55:53
91	19:55:53
93	19:55:53
94	19:55:53
98	20:00:38
103	20:00:38
102	20:00:38
100	20:00:38
101	20:00:38
96	20:00:38
97	20:00:38
99	20:00:38
106	20:05:27
108	20:05:27
104	20:05:27
109	20:05:27
111	20:05:27
110	20:05:27
105	20:05:27
107	20:05:27
116	20:10:25
114	20:10:25
113	20:10:25
118	20:10:25
112	20:10:25
119	20:10:25
117	20:10:25
115	20:10:25
120	20:15:23
126	20:15:23
124	20:15:23
121	20:15:23
127	20:15:23
123	20:15:23
122	20:15:23
125	20:15:23
128	20:20:19
134	20:20:19
129	20:20:19
131	20:20:19
130	20:20:19
133	20:20:19
132	20:20:19
135	20:20:19
136	20:25:34
138	20:25:34
143	20:25:34
142	20:25:34
141	20:25:34
140	20:25:34
139	20:25:34
137	20:25:34
148	20:30:44
144	20:30:44
151	20:30:44
145	20:30:44
147	20:30:44
146	20:30:44
150	20:30:44
149	20:30:44
153	20:35:44
152	20:35:44
158	20:35:44
154	20:35:44
156	20:35:44
155	20:35:44
159	20:35:44
157	20:35:44
163	20:40:48
161	20:40:48
166	20:40:48
164	20:40:48
167	20:40:48
162	20:40:48
165	20:40:48
160	20:40:48
173	20:45:47
170	20:45:47
175	20:45:47
168	20:45:47
171	20:45:47
169	20:45:47
172	20:45:47
174	20:45:47
179	20:51:03
176	20:51:03
178	20:51:03
182	20:51:03
177	20:51:03
183	20:51:03
180	20:51:03
181	20:51:03
186	20:56:11
188	20:56:11
189	20:56:11
187	20:56:11
184	20:56:11
190	20:56:11
191	20:56:11
185	20:56:11
192	21:01:12
197	21:01:12
195	21:01:12
199	21:01:12
194	21:01:12
193	21:01:12
196	21:01:12
198	21:01:12
202	21:06:09
200	21:06:09
201	21:06:09
207	21:06:09
206	21:06:09
204	21:06:09
205	21:06:09
203	21:06:09
211	21:11:06
208	21:11:06
210	21:11:06
209	21:11:06
214	21:11:06
212	21:11:06
213	21:11:06
215	21:11:06
218	21:16:12
220	21:16:12
219	21:16:12
216	21:16:12
223	21:16:12
222	21:16:12
217	21:16:12
221	21:16:12
226	21:21:30
228	21:21:30
227	21:21:30
225	21:21:30
231	21:21:30
230	21:21:30
224	21:21:30
229	21:21:30
238	21:26:34
232	21:26:34
234	21:26:34
233	21:26:34
236	21:26:34
237	21:26:34
239	21:26:34
235	21:26:34
240	21:31:34
242	21:31:34
247	21:31:34
244	21:31:34
243	21:31:34
245	21:31:34
246	21:31:34
241	21:31:34
254	21:36:41
248	21:36:41
251	21:36:41
250	21:36:41
249	21:36:41
252	21:36:41
253	21:36:41
255	21:36:41
261	21:41:45
262	21:41:45
256	21:41:45
258	21:41:45
263	21:41:45
257	21:41:45
260	21:41:45
259	21:41:45
266	21:46:45
264	21:46:45
269	21:46:45
268	21:46:45
265	21:46:45
271	21:46:45
270	21:46:45
267	21:46:45
273	21:51:48
275	21:51:48
277	21:51:48
276	21:51:48
272	21:51:48
274	21:51:48
278	21:51:48
279	21:51:48
280	21:56:38
284	21:56:38
286	21:56:38
283	21:56:38
285	21:56:38
282	21:56:38
287	21:56:38
281	21:56:38
294	22:01:45
291	22:01:45
288	22:01:45
289	22:01:45
292	22:01:45
293	22:01:45
295	22:01:45
290	22:01:45
301	22:06:45
299	22:06:45
302	22:06:45
296	22:06:45
303	22:06:45
298	22:06:45
297	22:06:45
300	22:06:45
308	22:11:46
307	22:11:46
306	22:11:46
304	22:11:46
311	22:11:46
310	22:11:46
305	22:11:46
309	22:11:46
312	22:16:50
315	22:16:50
314	22:16:50
313	22:16:50
319	22:16:50
317	22:16:50
316	22:16:50
318	22:16:50
321	22:21:52
325	22:21:52
326	22:21:52
323	22:21:52
322	22:21:52
324	22:21:52
327	22:21:52
320	22:21:52
331	22:27:02
332	22:27:02
328	22:27:02
329	22:27:02
335	22:27:02
333	22:27:02
330	22:27:02
334	22:27:02
338	22:32:04
342	22:32:04
343	22:32:04
341	22:32:04
337	22:32:04
336	22:32:04
339	22:32:04
340	22:32:04
344	22:37:06
347	22:37:06
350	22:37:06
348	22:37:06
346	22:37:06
345	22:37:06
351	22:37:06
349	22:37:06
352	22:42:13
359	22:42:13
357	22:42:13
358	22:42:13
356	22:42:13
355	22:42:13
353	22:42:13
354	22:42:13
366	22:47:26
361	22:47:26
364	22:47:26
