Index	Heure start	Heure end	Durée
3	19:07:53	19:10:37	0:2:44
1	19:07:53	19:10:38	0:2:45
2	19:07:53	19:10:39	0:2:46
5	19:07:53	19:10:41	0:2:47
0	19:07:53	19:10:44	0:2:51
6	19:07:53	19:11:21	0:3:28
4	19:07:53	19:11:43	0:3:50
7	19:07:53	19:11:45	0:3:52
13	19:11:50	19:14:37	0:2:46
8	19:11:50	19:14:41	0:2:50
9	19:11:50	19:14:41	0:2:51
11	19:11:50	19:15:06	0:3:15
12	19:11:50	19:15:26	0:3:35
15	19:11:50	19:15:28	0:3:37
14	19:11:50	19:15:32	0:3:41
10	19:11:50	19:15:36	0:3:45
16	19:15:38	19:18:24	0:2:46
22	19:15:38	19:18:25	0:2:47
21	19:15:38	19:18:25	0:2:47
17	19:15:38	19:18:27	0:2:49
20	19:15:38	19:18:28	0:2:50
18	19:15:38	19:19:27	0:3:49
23	19:15:38	19:19:37	0:3:59
19	19:15:38	19:19:44	0:4:6
30	19:19:46	19:22:36	0:2:49
26	19:19:46	19:22:41	0:2:55
29	19:19:46	19:23:47	0:4:1
27	19:19:46	19:23:48	0:4:2
25	19:19:46	19:23:52	0:4:6
31	19:19:46	19:23:56	0:4:10
24	19:19:46	19:24:03	0:4:17
28	19:19:46	19:24:06	0:4:20
37	19:24:08	19:27:05	0:2:57
33	19:24:08	19:27:49	0:3:40
35	19:24:08	19:27:52	0:3:43
38	19:24:08	19:28:07	0:3:58
36	19:24:08	19:28:13	0:4:4
32	19:24:08	19:28:18	0:4:9
34	19:24:08	19:28:23	0:4:14
39	19:24:08	19:28:23	0:4:14
41	19:28:24	19:31:17	0:2:53
44	19:28:24	19:31:22	0:2:58
46	19:28:24	19:32:04	0:3:39
42	19:28:24	19:32:18	0:3:54
45	19:28:24	19:32:22	0:3:58
47	19:28:24	19:32:24	0:4:0
40	19:28:24	19:32:25	0:4:0
43	19:28:24	19:32:26	0:4:2
52	19:32:28	19:35:19	0:2:51
50	19:32:28	19:35:26	0:2:58
54	19:32:28	19:36:20	0:3:52
55	19:32:28	19:36:23	0:3:55
51	19:32:28	19:36:26	0:3:58
48	19:32:28	19:36:31	0:4:3
53	19:32:28	19:36:34	0:4:6
49	19:32:28	19:36:47	0:4:19
62	19:36:49	19:40:12	0:3:23
60	19:36:49	19:40:39	0:3:50
59	19:36:49	19:40:39	0:3:50
63	19:36:49	19:40:40	0:3:51
58	19:36:49	19:40:48	0:3:59
57	19:36:49	19:40:52	0:4:3
56	19:36:49	19:41:00	0:4:11
61	19:36:49	19:41:19	0:4:30
69	19:41:20	19:45:05	0:3:45
68	19:41:20	19:45:19	0:3:58
71	19:41:20	19:45:21	0:4:1
65	19:41:20	19:45:23	0:4:2
64	19:41:20	19:45:24	0:4:4
67	19:41:20	19:45:31	0:4:10
66	19:41:20	19:45:35	0:4:14
70	19:41:20	19:45:37	0:4:17
78	19:45:38	19:48:31	0:2:53
74	19:45:38	19:49:26	0:3:48
73	19:45:38	19:49:32	0:3:54
72	19:45:38	19:49:35	0:3:57
76	19:45:38	19:49:39	0:4:1
75	19:45:38	19:49:47	0:4:9
79	19:45:38	19:49:50	0:4:12
77	19:45:38	19:50:02	0:4:24
81	19:50:02	19:54:05	0:4:3
83	19:50:02	19:54:07	0:4:4
84	19:50:02	19:54:10	0:4:7
86	19:50:02	19:54:12	0:4:9
82	19:50:02	19:54:17	0:4:14
87	19:50:02	19:54:17	0:4:14
80	19:50:02	19:54:18	0:4:15
85	19:50:02	19:54:21	0:4:18
94	19:54:21	19:58:28	0:4:6
95	19:54:21	19:58:28	0:4:6
92	19:54:21	19:58:28	0:4:7
88	19:54:21	19:58:28	0:4:7
93	19:54:21	19:58:37	0:4:15
91	19:54:21	19:58:39	0:4:18
90	19:54:21	19:58:43	0:4:22
89	19:54:21	19:58:45	0:4:23
97	19:58:45	20:02:32	0:3:47
100	19:58:45	20:02:47	0:4:2
96	19:58:45	20:02:49	0:4:4
99	19:58:45	20:02:49	0:4:4
98	19:58:45	20:02:50	0:4:4
102	19:58:45	20:02:50	0:4:5
103	19:58:45	20:02:57	0:4:12
101	19:58:45	20:03:06	0:4:21
106	20:03:06	20:06:58	0:3:52
107	20:03:06	20:07:08	0:4:1
108	20:03:06	20:07:10	0:4:3
104	20:03:06	20:07:13	0:4:6
110	20:03:06	20:07:13	0:4:7
109	20:03:06	20:07:18	0:4:11
105	20:03:06	20:07:19	0:4:12
111	20:03:06	20:07:25	0:4:19
117	20:07:26	20:11:31	0:4:5
114	20:07:26	20:11:32	0:4:5
119	20:07:26	20:11:34	0:4:8
115	20:07:26	20:11:36	0:4:10
118	20:07:26	20:11:39	0:4:13
112	20:07:26	20:11:41	0:4:15
116	20:07:26	20:11:43	0:4:17
113	20:07:26	20:11:45	0:4:19
123	20:11:45	20:15:49	0:4:4
124	20:11:45	20:15:54	0:4:9
121	20:11:45	20:15:54	0:4:9
127	20:11:45	20:15:55	0:4:9
126	20:11:45	20:15:56	0:4:11
120	20:11:45	20:15:57	0:4:12
122	20:11:45	20:15:58	0:4:13
125	20:11:45	20:16:00	0:4:15
132	20:16:01	20:20:05	0:4:3
128	20:16:01	20:20:08	0:4:7
134	20:16:01	20:20:08	0:4:7
129	20:16:01	20:20:09	0:4:7
133	20:16:01	20:20:09	0:4:7
135	20:16:01	20:20:12	0:4:11
130	20:16:01	20:20:14	0:4:13
131	20:16:01	20:20:33	0:4:32
143	20:20:33	20:24:37	0:4:4
139	20:20:33	20:24:37	0:4:4
142	20:20:33	20:24:38	0:4:5
138	20:20:33	20:24:40	0:4:7
137	20:20:33	20:24:41	0:4:7
140	20:20:33	20:24:41	0:4:7
141	20:20:33	20:24:42	0:4:9
136	20:20:33	20:24:43	0:4:9
145	20:24:43	20:28:49	0:4:5
148	20:24:43	20:28:52	0:4:9
144	20:24:43	20:28:54	0:4:11
150	20:24:43	20:28:57	0:4:13
151	20:24:43	20:28:58	0:4:14
146	20:24:43	20:28:58	0:4:15
149	20:24:43	20:28:59	0:4:16
147	20:24:43	20:29:00	0:4:17
155	20:29:00	20:33:05	0:4:4
153	20:29:00	20:33:10	0:4:9
152	20:29:00	20:33:10	0:4:9
154	20:29:00	20:33:11	0:4:10
157	20:29:00	20:33:11	0:4:10
159	20:29:00	20:33:12	0:4:11
158	20:29:00	20:33:14	0:4:13
156	20:29:00	20:33:16	0:4:15
166	20:33:16	20:37:25	0:4:8
162	20:33:16	20:37:25	0:4:9
167	20:33:16	20:37:25	0:4:9
164	20:33:16	20:37:25	0:4:9
160	20:33:16	20:37:26	0:4:10
163	20:33:16	20:37:27	0:4:10
165	20:33:16	20:37:27	0:4:11
161	20:33:16	20:37:35	0:4:18
170	20:37:35	20:41:43	0:4:8
173	20:37:35	20:41:44	0:4:9
175	20:37:35	20:41:44	0:4:9
172	20:37:35	20:41:47	0:4:11
168	20:37:35	20:41:47	0:4:11
174	20:37:35	20:41:47	0:4:12
171	20:37:35	20:41:48	0:4:13
169	20:37:35	20:41:52	0:4:17
180	20:41:52	20:46:02	0:4:9
182	20:41:52	20:46:03	0:4:10
177	20:41:52	20:46:04	0:4:11
176	20:41:52	20:46:06	0:4:13
