Index	edge	1	2	3	4	5	6	7	8	9	finesse_moy	finesse_max	Area	Reward
3	5.000e-03	0.000e+00	6.465e-02	8.999e-02	1.147e-01	-7.425e-02	-6.600e-02	-4.154e-03	7.422e-01	2.628e-01	3.708e-02	3.908e-02	1.530e-03	3.708e-02
3	5.000e-03	4.273e-02	6.770e-02	8.876e-02	3.325e-02	-5.914e-02	-4.968e-02	-5.933e-03	6.732e-01	2.818e-01	4.004e-02	4.248e-02	1.398e-03	2.858e-02
4	2.134e-02	2.642e-03	7.842e-02	1.714e-02	8.790e-02	-5.530e-02	-7.191e-02	-1.823e-02	7.447e-01	1.159e-01	3.218e-02	3.222e-02	1.302e-03	1.574e-03
4	2.075e-02	0.000e+00	7.415e-02	6.628e-02	1.292e-01	-6.368e-02	-5.338e-02	-9.273e-05	7.932e-01	2.158e-01	3.615e-02	3.767e-02	1.428e-03	3.077e-02
4	5.000e-03	8.872e-03	7.357e-02	9.771e-02	7.922e-02	-6.588e-02	-3.948e-02	-1.398e-02	7.281e-01	2.517e-01	3.779e-02	3.994e-02	1.437e-03	3.417e-02
4	5.000e-03	1.508e-02	6.577e-02	9.675e-02	9.267e-02	-6.004e-02	-3.005e-02	-7.682e-03	7.299e-01	3.000e-01	4.221e-02	4.477e-02	1.374e-03	2.591e-02
4	5.000e-03	1.685e-02	6.238e-02	8.233e-02	1.322e-01	-8.000e-02	-7.598e-02	0.000e+00	7.609e-01	2.492e-01	3.538e-02	3.731e-02	1.634e-03	3.538e-02
4	1.755e-02	0.000e+00	9.844e-02	9.948e-02	1.147e-01	-6.549e-02	-3.008e-02	-3.568e-02	7.745e-01	2.642e-01	3.438e-02	3.683e-02	1.689e-03	3.437e-02
4	5.000e-03	1.572e-02	8.717e-02	9.292e-02	7.253e-02	-5.876e-02	-6.156e-02	-5.492e-03	7.451e-01	3.000e-01	3.854e-02	4.155e-02	1.556e-03	3.855e-02
4	1.321e-02	5.658e-03	8.876e-02	9.757e-02	6.720e-02	-5.883e-02	-4.030e-02	-1.697e-02	7.764e-01	3.000e-01	3.771e-02	4.080e-02	1.501e-03	3.774e-02
5	5.000e-03	0.000e+00	8.164e-02	8.858e-02	6.999e-02	-5.295e-02	-6.716e-02	-3.481e-03	7.772e-01	1.515e-01	3.186e-02	3.218e-02	1.403e-03	2.158e-02
5	9.971e-03	5.895e-03	9.402e-02	9.269e-02	6.095e-02	-7.245e-02	-7.017e-02	-7.231e-03	7.813e-01	1.402e-01	2.642e-02	2.647e-02	1.575e-03	2.642e-02
5	1.708e-02	1.763e-03	7.891e-02	9.532e-02	1.312e-01	-7.131e-02	-5.854e-02	-1.682e-02	7.609e-01	1.727e-01	2.863e-02	3.023e-02	1.663e-03	2.861e-02
5	1.081e-02	8.302e-03	6.894e-02	1.000e-01	1.145e-01	-6.511e-02	-2.234e-02	-2.990e-03	7.894e-01	3.000e-01	4.196e-02	4.471e-02	1.401e-03	3.088e-02
5	6.740e-03	1.293e-02	8.000e-02	9.397e-02	9.952e-02	-6.479e-02	-5.796e-02	-5.606e-03	6.533e-01	2.721e-01	3.914e-02	4.178e-02	1.560e-03	3.909e-02
5	1.814e-02	0.000e+00	8.181e-02	9.518e-02	1.500e-01	-4.122e-02	-6.608e-02	-3.835e-03	7.924e-01	2.487e-01	3.800e-02	4.073e-02	1.623e-03	3.802e-02
5	1.010e-02	3.861e-03	8.699e-02	9.271e-02	1.174e-01	-6.016e-02	-5.057e-02	-7.544e-03	7.763e-01	2.838e-01	4.008e-02	4.256e-02	1.575e-03	4.006e-02
5	5.000e-03	2.042e-02	7.840e-02	9.548e-02	1.072e-01	-6.474e-02	-2.960e-02	-2.097e-02	7.661e-01	3.000e-01	3.966e-02	4.216e-02	1.558e-03	3.966e-02
6	1.630e-02	1.802e-02	9.223e-02	9.489e-02	1.002e-01	-6.140e-02	-4.667e-02	-5.994e-03	7.881e-01	2.509e-01	3.792e-02	4.003e-02	1.604e-03	3.790e-02
6	5.806e-03	1.436e-02	8.849e-02	8.965e-02	1.500e-01	-6.434e-02	-4.780e-02	-9.676e-03	7.529e-01	2.737e-01	3.871e-02	4.143e-02	1.675e-03	3.869e-02
6	1.139e-02	2.879e-03	9.072e-02	9.296e-02	1.091e-01	-6.966e-02	-6.224e-02	-2.356e-02	7.478e-01	2.507e-01	3.520e-02	3.771e-02	1.720e-03	3.513e-02
6	9.666e-03	2.358e-03	9.032e-02	9.823e-02	9.842e-02	-6.072e-02	-5.603e-02	-9.112e-03	7.561e-01	3.000e-01	3.941e-02	4.247e-02	1.603e-03	3.941e-02
6	5.000e-03	1.913e-02	8.854e-02	9.227e-02	1.034e-01	-7.349e-02	-6.834e-02	-7.224e-03	7.574e-01	2.520e-01	3.714e-02	3.921e-02	1.710e-03	3.712e-02
6	5.000e-03	2.794e-02	8.430e-02	7.527e-02	9.046e-02	-7.403e-02	-5.086e-02	0.000e+00	7.732e-01	2.862e-01	3.832e-02	4.056e-02	1.533e-03	3.829e-02
6	1.412e-02	0.000e+00	6.024e-02	9.332e-02	1.474e-01	-5.946e-02	-5.611e-02	-7.539e-03	7.461e-01	3.000e-01	4.070e-02	4.387e-02	1.544e-03	4.071e-02
6	1.912e-02	2.437e-03	9.822e-02	9.685e-02	1.500e-01	-6.584e-02	-5.967e-02	-4.541e-03	7.746e-01	3.000e-01	3.816e-02	4.131e-02	1.778e-03	3.818e-02
7	5.735e-03	2.896e-03	9.006e-02	1.000e-01	9.548e-02	-6.772e-02	-6.006e-02	-1.595e-02	7.520e-01	2.092e-01	3.278e-02	3.465e-02	1.637e-03	3.282e-02
7	1.463e-02	0.000e+00	7.302e-02	9.827e-02	1.500e-01	-5.409e-02	-5.159e-02	-1.188e-02	7.733e-01	2.601e-01	3.703e-02	3.995e-02	1.599e-03	3.705e-02
7	7.666e-03	1.171e-02	8.266e-02	8.828e-02	1.235e-01	-7.070e-02	-7.002e-02	-1.798e-03	7.620e-01	2.439e-01	3.612e-02	3.801e-02	1.661e-03	3.610e-02
7	1.727e-02	0.000e+00	7.211e-02	8.991e-02	1.500e-01	-5.996e-02	-6.839e-02	-8.070e-03	7.578e-01	2.257e-01	3.269e-02	3.549e-02	1.639e-03	3.272e-02
7	5.000e-03	1.589e-02	4.557e-02	9.441e-02	1.056e-01	-7.713e-02	-3.509e-02	-2.199e-03	6.430e-01	3.000e-01	4.100e-02	4.371e-02	1.350e-03	1.993e-02
7	7.096e-03	8.725e-03	4.317e-02	7.845e-02	1.256e-01	-5.365e-02	-6.453e-02	0.000e+00	6.802e-01	2.701e-01	4.188e-02	4.428e-02	1.355e-03	2.196e-02
7	1.015e-02	1.023e-03	9.197e-02	1.000e-01	1.051e-01	-4.686e-02	-5.270e-02	-1.395e-02	7.605e-01	2.556e-01	3.811e-02	4.053e-02	1.575e-03	3.811e-02
