Index	Heure start
:43
0	15:11:43
5	15:11:43
11	15:16:17
10	15:16:17
15	15:16:17
14	15:16:17
8	15:16:17
12	15:16:17
13	15:16:17
9	15:16:17
17	15:20:28
22	15:20:28
23	15:20:28
16	15:20:28
20	15:20:28
18	15:20:28
21	15:20:28
19	15:20:28
27	15:24:51
25	15:24:51
28	15:24:51
24	15:24:51
29	15:24:51
30	15:24:51
26	15:24:51
31	15:24:51
32	15:29:07
34	15:29:07
36	15:29:07
37	15:29:07
33	15:29:07
35	15:29:07
38	15:29:07
39	15:29:07
44	15:33:38
42	15:33:38
40	15:33:38
47	15:33:38
46	15:33:38
45	15:33:38
41	15:33:38
43	15:33:38
48	15:38:10
55	15:38:10
52	15:38:10
54	15:38:10
53	15:38:10
49	15:38:10
51	15:38:10
50	15:38:10
59	15:42:53
62	15:42:53
60	15:42:53
56	15:42:53
58	15:42:53
63	15:42:53
57	15:42:53
61	15:42:53
66	15:47:31
65	15:47:31
69	15:47:31
64	15:47:31
71	15:47:31
68	15:47:31
67	15:47:31
70	15:47:31
77	15:52:13
73	15:52:13
78	15:52:13
72	15:52:13
76	15:52:13
75	15:52:13
74	15:52:13
79	15:52:13
82	15:56:58
81	15:56:58
85	15:56:58
87	15:56:58
80	15:56:58
86	15:56:58
84	15:56:58
83	15:56:58
89	16:01:41
88	16:01:41
90	16:01:41
94	16:01:41
95	16:01:41
93	16:01:41
92	16:01:41
91	16:01:41
98	16:06:19
99	16:06:19
96	16:06:19
102	16:06:19
100	16:06:19
97	16:06:19
101	16:06:19
103	16:06:19
106	16:11:01
104	16:11:01
108	16:11:01
111	16:11:01
109	16:11:01
110	16:11:01
107	16:11:01
105	16:11:01
116	16:15:45
117	16:15:45
112	16:15:45
113	16:15:45
114	16:15:45
119	16:15:45
115	16:15:45
118	16:15:45
124	16:20:27
120	16:20:27
121	16:20:27
125	16:20:27
122	16:20:27
123	16:20:27
126	16:20:27
127	16:20:27
132	16:25:21
134	16:25:21
135	16:25:21
131	16:25:21
133	16:25:21
129	16:25:21
128	16:25:21
130	16:25:21
142	16:29:57
136	16:29:57
139	16:29:57
137	16:29:57
140	16:29:57
143	16:29:57
141	16:29:57
138	16:29:57
144	16:34:38
145	16:34:38
148	16:34:38
146	16:34:38
147	16:34:38
150	16:34:38
149	16:34:38
151	16:34:38
152	16:39:16
153	16:39:16
155	16:39:16
158	16:39:16
154	16:39:16
159	16:39:16
156	16:39:16
157	16:39:16
167	16:43:59
166	16:43:59
163	16:43:59
160	16:43:59
164	16:43:59
165	16:43:59
