Index	edge	1	2	3	4	5	6	7	8	9	finesse_moy	finesse_max	Area	Reward
0	8.811e-03	4.396e-03	9.005e-02	8.944e-02	5.867e-02	-6.823e-02	-2.681e-02	-1.727e-02	4.219e-01	-1.491e-02	1.153e-02	1.164e-02	2.250e-03	-3.881e-02
0	2.114e-02	4.534e-02	6.628e-02	9.056e-02	3.965e-02	-6.589e-02	-6.905e-02	-1.972e-02	5.216e-01	-1.265e-02	9.116e-03	9.129e-03	2.659e-03	9.116e-03
0	2.624e-02	5.198e-02	7.365e-02	1.000e-01	4.512e-02	-6.071e-02	-7.423e-02	-1.035e-02	7.496e-01	-5.482e-02	8.878e-03	8.884e-03	2.766e-03	8.875e-03
0	1.155e-02	2.149e-02	6.051e-02	5.689e-02	6.678e-02	-5.080e-02	-8.717e-02	-1.756e-02	5.063e-01	-3.851e-02	1.188e-02	1.190e-02	2.367e-03	-1.510e-02
0	1.836e-02	3.169e-02	8.353e-02	4.646e-02	6.741e-02	-2.403e-02	-6.622e-02	-5.212e-02	7.443e-01	-5.031e-02	1.724e-02	1.727e-02	2.517e-03	1.724e-02
0	4.358e-02	4.747e-02	9.682e-02	9.184e-02	9.723e-02	-3.680e-02	-7.262e-02	-2.132e-02	7.456e-01	-6.851e-02	1.116e-02	1.117e-02	3.060e-03	1.082e-02
0	2.252e-02	4.268e-02	5.581e-02	5.051e-02	3.886e-02	-4.316e-02	-7.494e-02	-2.816e-02	7.878e-01	1.271e-01	1.497e-02	1.498e-02	2.395e-03	-6.461e-03
0	1.130e-02	2.564e-02	8.818e-02	6.402e-02	6.686e-02	-6.352e-02	-7.355e-02	-5.688e-02	7.469e-01	1.909e-01	6.944e-03	6.957e-03	3.046e-03	6.942e-03
1	2.271e-02	4.554e-02	9.627e-02	9.133e-02	9.970e-02	-5.988e-02	-6.451e-02	-2.987e-02	7.615e-01	-1.924e-02	9.661e-03	9.674e-03	3.130e-03	-4.812e-03
1	2.098e-02	3.757e-02	3.903e-02	8.785e-02	6.016e-02	-2.806e-02	-7.553e-02	-5.354e-02	7.049e-01	2.093e-02	1.484e-02	1.487e-02	2.598e-03	1.483e-02
