Index	Heure start
2	12:15:56
0	12:15:56
4	12:15:56
3	12:15:56
5	12:15:56
6	12:15:56
1	12:15:56
7	12:15:56
8	12:19:08
14	12:19:08
11	12:19:08
12	12:19:08
10	12:19:08
9	12:19:08
15	12:19:08
13	12:19:08
23	12:22:04
17	12:22:04
19	12:22:04
16	12:22:04
18	12:22:04
22	12:22:04
20	12:22:04
21	12:22:04
24	12:24:57
28	12:24:57
25	12:24:57
30	12:24:57
26	12:24:57
27	12:24:57
29	12:24:57
31	12:24:57
37	12:27:54
35	12:27:54
34	12:27:54
32	12:27:54
38	12:27:54
33	12:27:54
39	12:27:54
36	12:27:54
40	12:30:54
45	12:30:54
41	12:30:54
42	12:30:54
43	12:30:54
47	12:30:54
46	12:30:54
44	12:30:54
48	12:33:50
51	12:33:50
50	12:33:50
55	12:33:50
52	12:33:50
49	12:33:50
54	12:33:50
53	12:33:50
56	12:36:45
57	12:36:45
62	12:36:45
63	12:36:45
58	12:36:45
59	12:36:45
61	12:36:45
60	12:36:45
66	12:39:42
69	12:39:42
71	12:39:42
68	12:39:42
64	12:39:42
70	12:39:42
67	12:39:42
65	12:39:42
77	12:42:37
76	12:42:37
72	12:42:37
73	12:42:37
78	12:42:37
74	12:42:37
75	12:42:37
79	12:42:37
82	12:45:32
80	12:45:32
81	12:45:32
83	12:45:32
84	12:45:32
85	12:45:32
86	12:45:32
87	12:45:32
92	12:48:30
89	12:48:30
88	12:48:30
90	12:48:30
91	12:48:30
94	12:48:30
95	12:48:30
93	12:48:30
96	12:51:28
97	12:51:28
100	12:51:28
99	12:51:28
101	12:51:28
103	12:51:28
102	12:51:28
98	12:51:28
109	12:54:27
108	12:54:27
107	12:54:27
104	12:54:27
105	12:54:27
111	12:54:27
110	12:54:27
106	12:54:27
112	12:57:22
113	12:57:22
119	12:57:22
115	12:57:22
114	12:57:22
116	12:57:22
117	12:57:22
118	12:57:22
121	13:00:24
123	13:00:24
122	13:00:24
127	13:00:24
126	13:00:24
120	13:00:24
124	13:00:24
125	13:00:24
128	13:03:21
129	13:03:21
131	13:03:21
130	13:03:21
135	13:03:21
132	13:03:21
133	13:03:21
134	13:03:21
139	13:06:24
140	13:06:24
137	13:06:24
136	13:06:24
141	13:06:24
143	13:06:24
138	13:06:24
142	13:06:24
147	13:09:21
144	13:09:21
151	13:09:21
149	13:09:21
145	13:09:21
146	13:09:21
150	13:09:21
148	13:09:21
152	13:12:17
157	13:12:17
155	13:12:17
156	13:12:17
158	13:12:17
159	13:12:17
153	13:12:17
154	13:12:17
161	13:15:14
160	13:15:14
162	13:15:14
164	13:15:14
163	13:15:14
167	13:15:14
166	13:15:14
165	13:15:14
169	13:18:12
175	13:18:12
171	13:18:12
168	13:18:12
170	13:18:12
172	13:18:12
173	13:18:12
174	13:18:12
176	13:21:10
177	13:21:10
181	13:21:10
178	13:21:10
183	13:21:10
182	13:21:10
180	13:21:10
179	13:21:10
186	13:24:10
185	13:24:10
184	13:24:10
187	13:24:10
188	13:24:10
189	13:24:10
191	13:24:10
190	13:24:10
198	13:27:15
193	13:27:15
195	13:27:15
194	13:27:15
192	13:27:15
197	13:27:15
196	13:27:15
199	13:27:15
205	13:30:09
200	13:30:09
203	13:30:09
204	13:30:09
206	13:30:09
201	13:30:09
207	13:30:09
202	13:30:09
209	13:33:02
210	13:33:02
211	13:33:02
213	13:33:02
215	13:33:02
208	13:33:02
212	13:33:02
214	13:33:02
221	13:36:00
222	13:36:00
223	13:36:00
216	13:36:00
219	13:36:00
220	13:36:00
218	13:36:00
217	13:36:00
228	13:38:53
226	13:38:53
227	13:38:53
229	13:38:53
224	13:38:53
225	13:38:53
230	13:38:53
231	13:38:53
234	13:41:50
233	13:41:50
236	13:41:50
238	13:41:50
232	13:41:50
235	13:41:50
237	13:41:50
239	13:41:50
241	13:44:46
240	13:44:46
243	13:44:46
247	13:44:46
246	13:44:46
244	13:44:46
245	13:44:46
242	13:44:46
252	13:47:48
250	13:47:48
255	13:47:48
251	13:47:48
249	13:47:48
248	13:47:48
254	13:47:48
253	13:47:48
256	13:50:49
258	13:50:49
260	13:50:49
259	13:50:49
261	13:50:49
263	13:50:49
257	13:50:49
262	13:50:49
268	13:53:46
264	13:53:46
270	13:53:46
267	13:53:46
269	13:53:46
265	13:53:46
266	13:53:46
271	13:53:46
272	13:56:40
275	13:56:40
279	13:56:40
274	13:56:40
277	13:56:40
278	13:56:40
273	13:56:40
276	13:56:40
280	13:59:42
285	13:59:42
286	13:59:42
281	13:59:42
282	13:59:42
283	13:59:42
284	13:59:42
287	13:59:42
294	14:02:36
291	14:02:36
290	14:02:36
295	14:02:36
288	14:02:36
292	14:02:36
289	14:02:36
293	14:02:36
298	14:05:36
302	14:05:36
296	14:05:36
303	14:05:36
301	14:05:36
299	14:05:36
297	14:05:36
300	14:05:36
307	14:08:31
309	14:08:31
310	14:08:31
304	14:08:31
305	14:08:31
