Index	Heure start	Heure end	Durée
1	12:15:56	12:18:46	0:2:49
0	12:15:56	12:18:47	0:2:50
2	12:15:56	12:18:47	0:2:50
4	12:15:56	12:18:47	0:2:50
5	12:15:56	12:18:48	0:2:51
3	12:15:56	12:18:48	0:2:51
7	12:15:56	12:18:54	0:2:57
6	12:15:56	12:19:03	0:3:6
9	12:19:08	12:21:55	0:2:47
13	12:19:08	12:21:56	0:2:48
14	12:19:08	12:21:56	0:2:48
10	12:19:08	12:21:57	0:2:49
12	12:19:08	12:22:01	0:2:52
15	12:19:08	12:22:01	0:2:53
8	12:19:08	12:22:01	0:2:53
11	12:19:08	12:22:02	0:2:53
17	12:22:04	12:24:47	0:2:43
16	12:22:04	12:24:49	0:2:45
22	12:22:04	12:24:50	0:2:46
19	12:22:04	12:24:53	0:2:49
20	12:22:04	12:24:53	0:2:49
21	12:22:04	12:24:54	0:2:50
23	12:22:04	12:24:54	0:2:50
18	12:22:04	12:24:56	0:2:52
31	12:24:57	12:27:44	0:2:46
27	12:24:57	12:27:45	0:2:47
25	12:24:57	12:27:46	0:2:48
29	12:24:57	12:27:46	0:2:48
24	12:24:57	12:27:48	0:2:50
28	12:24:57	12:27:50	0:2:52
30	12:24:57	12:27:52	0:2:54
26	12:24:57	12:27:52	0:2:54
38	12:27:54	12:30:40	0:2:46
33	12:27:54	12:30:40	0:2:46
35	12:27:54	12:30:43	0:2:49
37	12:27:54	12:30:44	0:2:50
34	12:27:54	12:30:45	0:2:50
39	12:27:54	12:30:45	0:2:51
36	12:27:54	12:30:46	0:2:52
32	12:27:54	12:30:53	0:2:58
44	12:30:54	12:33:39	0:2:45
40	12:30:54	12:33:40	0:2:46
41	12:30:54	12:33:41	0:2:46
45	12:30:54	12:33:41	0:2:47
47	12:30:54	12:33:44	0:2:49
42	12:30:54	12:33:45	0:2:50
43	12:30:54	12:33:47	0:2:52
46	12:30:54	12:33:49	0:2:55
51	12:33:50	12:36:37	0:2:46
53	12:33:50	12:36:38	0:2:48
50	12:33:50	12:36:41	0:2:51
55	12:33:50	12:36:42	0:2:51
48	12:33:50	12:36:42	0:2:51
54	12:33:50	12:36:43	0:2:52
49	12:33:50	12:36:43	0:2:52
52	12:33:50	12:36:44	0:2:53
57	12:36:45	12:39:33	0:2:48
61	12:36:45	12:39:34	0:2:48
56	12:36:45	12:39:36	0:2:50
59	12:36:45	12:39:37	0:2:51
62	12:36:45	12:39:37	0:2:52
63	12:36:45	12:39:37	0:2:52
58	12:36:45	12:39:38	0:2:53
60	12:36:45	12:39:41	0:2:56
67	12:39:42	12:42:28	0:2:46
64	12:39:42	12:42:30	0:2:47
68	12:39:42	12:42:30	0:2:48
70	12:39:42	12:42:33	0:2:50
71	12:39:42	12:42:33	0:2:51
65	12:39:42	12:42:34	0:2:51
69	12:39:42	12:42:35	0:2:52
66	12:39:42	12:42:37	0:2:54
73	12:42:37	12:45:25	0:2:48
75	12:42:37	12:45:25	0:2:48
72	12:42:37	12:45:27	0:2:49
78	12:42:37	12:45:28	0:2:50
76	12:42:37	12:45:29	0:2:51
74	12:42:37	12:45:30	0:2:52
79	12:42:37	12:45:31	0:2:54
77	12:42:37	12:45:32	0:2:54
86	12:45:32	12:48:20	0:2:47
82	12:45:32	12:48:21	0:2:49
81	12:45:32	12:48:21	0:2:49
85	12:45:32	12:48:21	0:2:49
83	12:45:32	12:48:23	0:2:50
80	12:45:32	12:48:23	0:2:51
87	12:45:32	12:48:24	0:2:51
84	12:45:32	12:48:30	0:2:57
91	12:48:30	12:51:17	0:2:47
89	12:48:30	12:51:22	0:2:51
93	12:48:30	12:51:23	0:2:53
92	12:48:30	12:51:24	0:2:53
95	12:48:30	12:51:25	0:2:54
94	12:48:30	12:51:25	0:2:55
90	12:48:30	12:51:26	0:2:56
88	12:48:30	12:51:28	0:2:57
101	12:51:28	12:54:15	0:2:46
103	12:51:28	12:54:15	0:2:47
