Index	Heure start	Heure end	Durée
2	15:11:34	15:14:28	0:2:53
6	15:11:34	15:14:30	0:2:55
0	15:11:34	15:14:30	0:2:55
3	15:11:34	15:14:31	0:2:56
4	15:11:34	15:14:32	0:2:57
1	15:11:34	15:14:34	0:2:59
5	15:11:34	15:14:35	0:3:0
7	15:11:34	15:14:40	0:3:5
13	15:14:45	15:17:36	0:2:50
8	15:14:45	15:17:41	0:2:56
12	15:14:45	15:17:42	0:2:57
11	15:14:45	15:17:44	0:2:58
14	15:14:45	15:17:44	0:2:59
9	15:14:45	15:17:44	0:2:59
10	15:14:45	15:17:45	0:3:0
15	15:14:45	15:17:48	0:3:2
21	15:17:50	15:20:54	0:3:4
22	15:17:50	15:20:55	0:3:5
18	15:17:50	15:20:55	0:3:5
19	15:17:50	15:20:56	0:3:6
20	15:17:50	15:20:58	0:3:8
16	15:17:50	15:21:00	0:3:10
17	15:17:50	15:21:02	0:3:12
23	15:17:50	15:21:04	0:3:14
25	15:21:06	15:23:54	0:2:48
24	15:21:06	15:23:57	0:2:50
29	15:21:06	15:23:59	0:2:53
27	15:21:06	15:24:00	0:2:53
31	15:21:06	15:24:01	0:2:54
30	15:21:06	15:24:01	0:2:54
28	15:21:06	15:24:03	0:2:56
26	15:21:06	15:24:06	0:3:0
32	15:24:08	15:27:00	0:2:51
37	15:24:08	15:27:01	0:2:52
38	15:24:08	15:27:01	0:2:52
34	15:24:08	15:27:01	0:2:52
35	15:24:08	15:27:01	0:2:52
39	15:24:08	15:27:03	0:2:54
36	15:24:08	15:27:04	0:2:56
33	15:24:08	15:27:16	0:3:8
43	15:27:17	15:30:10	0:2:52
41	15:27:17	15:30:10	0:2:52
46	15:27:17	15:30:11	0:2:53
45	15:27:17	15:30:14	0:2:56
47	15:27:17	15:30:15	0:2:57
44	15:27:17	15:30:16	0:2:58
42	15:27:17	15:30:19	0:3:1
40	15:27:17	15:30:24	0:3:7
49	15:30:26	15:33:15	0:2:49
53	15:30:26	15:33:15	0:2:49
55	15:30:26	15:33:15	0:2:49
48	15:30:26	15:33:18	0:2:52
52	15:30:26	15:33:18	0:2:52
54	15:30:26	15:33:18	0:2:52
51	15:30:26	15:33:19	0:2:53
50	15:30:26	15:33:21	0:2:55
63	15:33:22	15:36:16	0:2:53
62	15:33:22	15:36:16	0:2:53
58	15:33:22	15:36:16	0:2:53
61	15:33:22	15:36:16	0:2:53
59	15:33:22	15:36:19	0:2:56
57	15:33:22	15:36:20	0:2:58
56	15:33:22	15:36:21	0:2:58
60	15:33:22	15:36:23	0:3:0
65	15:36:24	15:39:14	0:2:49
66	15:36:24	15:39:14	0:2:49
67	15:36:24	15:39:19	0:2:54
70	15:36:24	15:39:19	0:2:54
68	15:36:24	15:39:20	0:2:55
69	15:36:24	15:39:20	0:2:55
71	15:36:24	15:39:22	0:2:57
64	15:36:24	15:39:24	0:2:59
78	15:39:24	15:42:28	0:3:3
72	15:39:24	15:42:28	0:3:3
76	15:39:24	15:42:29	0:3:4
79	15:39:24	15:42:30	0:3:5
74	15:39:24	15:42:32	0:3:7
75	15:39:24	15:42:34	0:3:9
77	15:39:24	15:42:34	0:3:9
73	15:39:24	15:42:36	0:3:11
82	15:42:37	15:45:29	0:2:52
85	15:42:37	15:45:29	0:2:52
83	15:42:37	15:45:31	0:2:54
87	15:42:37	15:45:31	0:2:54
80	15:42:37	15:45:31	0:2:54
81	15:42:37	15:45:33	0:2:56
86	15:42:37	15:45:33	0:2:56
84	15:42:37	15:45:36	0:2:58
95	15:45:38	15:48:30	0:2:52
88	15:45:38	15:48:30	0:2:52
93	15:45:38	15:48:33	0:2:55
94	15:45:38	15:48:34	0:2:56
90	15:45:38	15:48:34	0:2:56
91	15:45:38	15:48:34	0:2:56
89	15:45:38	15:48:39	0:3:1
92	15:45:38	15:48:40	0:3:2
102	15:48:40	15:51:30	0:2:49
96	15:48:40	15:51:30	0:2:50
103	15:48:40	15:51:30	0:2:50
97	15:48:40	15:51:31	0:2:50
99	15:48:40	15:51:34	0:2:54
100	15:48:40	15:51:35	0:2:55
98	15:48:40	15:51:36	0:2:55
101	15:48:40	15:51:36	0:2:56
111	15:51:37	15:54:24	0:2:47
109	15:51:37	15:54:26	0:2:48
105	15:51:37	15:54:26	0:2:49
104	15:51:37	15:54:26	0:2:49
106	15:51:37	15:54:27	0:2:49
108	15:51:37	15:54:27	0:2:50
107	15:51:37	15:54:32	0:2:54
110	15:51:37	15:54:33	0:2:56
116	15:54:34	15:57:26	0:2:52
114	15:54:34	15:57:26	0:2:52
113	15:54:34	15:57:27	0:2:53
117	15:54:34	15:57:27	0:2:53
118	15:54:34	15:57:27	0:2:53
112	15:54:34	15:57:28	0:2:54
119	15:54:34	15:57:29	0:2:54
115	15:54:34	15:57:30	0:2:56
124	15:57:30	16:00:23	0:2:52
123	15:57:30	16:00:26	0:2:55
126	15:57:30	16:00:26	0:2:55
122	15:57:30	16:00:26	0:2:55
125	15:57:30	16:00:28	0:2:57
120	15:57:30	16:00:29	0:2:58
127	15:57:30	16:00:31	0:3:0
121	15:57:30	16:00:36	0:3:5
130	16:00:36	16:03:33	0:2:57
131	16:00:36	16:03:35	0:2:59
128	16:00:36	16:03:36	0:2:59
133	16:00:36	16:03:38	0:3:2
132	16:00:36	16:03:38	0:3:2
135	16:00:36	16:03:41	0:3:5
129	16:00:36	16:04:15	0:3:39
134	16:00:36	16:04:41	0:4:5
139	16:04:41	16:07:38	0:2:56
137	16:04:41	16:07:39	0:2:57
140	16:04:41	16:07:41	0:2:59
138	16:04:41	16:07:43	0:3:1
141	16:04:41	16:07:44	0:3:2
142	16:04:41	16:07:46	0:3:4
143	16:04:41	16:07:49	0:3:7
136	16:04:41	16:07:50	0:3:8
145	16:07:50	16:10:44	0:2:54
148	16:07:50	16:10:47	0:2:56
149	16:07:50	16:10:47	0:2:56
150	16:07:50	16:10:50	0:2:59
144	16:07:50	16:10:50	0:3:0
146	16:07:50	16:10:52	0:3:1
151	16:07:50	16:10:57	0:3:6
147	16:07:50	16:12:00	0:4:10
153	16:12:01	16:14:57	0:2:56
158	16:12:01	16:14:57	0:2:56
152	16:12:01	16:15:24	0:3:23
155	16:12:01	16:15:29	0:3:28
157	16:12:01	16:16:03	0:4:2
154	16:12:01	16:16:05	0:4:4
156	16:12:01	16:16:14	0:4:13
159	16:12:01	16:16:15	0:4:14
166	16:16:15	16:19:11	0:2:56
165	16:16:15	16:19:23	0:3:8
164	16:16:15	16:19:26	0:3:11
167	16:16:15	16:20:35	0:4:20
162	16:16:15	16:20:38	0:4:22
161	16:16:15	16:20:39	0:4:23
163	16:16:15	16:20:39	0:4:23
160	16:16:15	16:20:46	0:4:31
170	16:20:46	16:23:55	0:3:8
175	16:20:46	16:24:04	0:3:17
172	16:20:46	16:24:06	0:3:19
168	16:20:46	16:24:57	0:4:10
173	16:20:46	16:25:05	0:4:19
171	16:20:46	16:25:12	0:4:25
174	16:20:46	16:25:15	0:4:29
169	16:20:46	16:25:17	0:4:30
177	16:25:17	16:28:16	0:2:59
180	16:25:17	16:28:24	0:3:6
182	16:25:17	16:29:33	0:4:16
178	16:25:17	16:29:34	0:4:16
181	16:25:17	16:29:35	0:4:17
183	16:25:17	16:29:43	0:4:25
179	16:25:17	16:29:46	0:4:29
176	16:25:17	16:29:51	0:4:34
188	16:29:51	16:32:58	0:3:6
186	16:29:51	16:32:58	0:3:6
190	16:29:51	16:33:02	0:3:10
184	16:29:51	16:33:07	0:3:15
189	16:29:51	16:33:51	0:3:59
185	16:29:51	16:33:58	0:4:6
191	16:29:51	16:34:09	0:4:17
187	16:29:51	16:34:20	0:4:28
197	16:34:20	16:37:29	0:3:8
199	16:34:20	16:37:38	0:3:18
193	16:34:20	16:37:46	0:3:26
194	16:34:20	16:38:11	0:3:50
196	16:34:20	16:38:18	0:3:58
198	16:34:20	16:38:34	0:4:14
192	16:34:20	16:38:35	0:4:14
195	16:34:20	16:38:38	0:4:17
207	16:38:38	16:41:48	0:3:9
206	16:38:38	16:42:20	0:3:41
204	16:38:38	16:42:22	0:3:44
201	16:38:38	16:42:41	0:4:3
202	16:38:38	16:42:49	0:4:10
203	16:38:38	16:42:49	0:4:11
205	16:38:38	16:42:49	0:4:11
200	16:38:38	16:42:50	0:4:11
210	16:42:50	16:46:47	0:3:56
212	16:42:50	16:46:53	0:4:2
215	16:42:50	16:47:04	0:4:13
211	16:42:50	16:47:08	0:4:18
214	16:42:50	16:47:11	0:4:21
208	16:42:50	16:47:17	0:4:27
209	16:42:50	16:47:19	0:4:29
213	16:42:50	16:47:21	0:4:30
219	16:47:21	16:51:22	0:4:0
220	16:47:21	16:51:22	0:4:0
223	16:47:21	16:51:24	0:4:3
218	16:47:21	16:51:31	0:4:9
217	16:47:21	16:51:31	0:4:10
221	16:47:21	16:51:33	0:4:12
216	16:47:21	16:51:39	0:4:17
222	16:47:21	16:51:48	0:4:26
228	16:51:48	16:55:53	0:4:5
224	16:51:48	16:55:56	0:4:8
229	16:51:48	16:55:57	0:4:9
231	16:51:48	16:55:57	0:4:9
225	16:51:48	16:56:00	0:4:12
227	16:51:48	16:56:03	0:4:14
226	16:51:48	16:56:03	0:4:15
230	16:51:48	16:56:06	0:4:18
233	16:56:06	16:59:15	0:3:8
237	16:56:06	16:59:28	0:3:22
238	16:56:06	16:59:54	0:3:47
236	16:56:06	17:00:08	0:4:1
232	16:56:06	17:00:19	0:4:12
235	16:56:06	17:00:22	0:4:15
234	16:56:06	17:00:25	0:4:18
239	16:56:06	17:00:30	0:4:23
247	17:00:30	17:04:48	0:4:17
241	17:00:30	17:04:48	0:4:17
244	17:00:30	17:04:48	0:4:17
243	17:00:30	17:04:49	0:4:19
246	17:00:30	17:04:50	0:4:20
240	17:00:30	17:04:52	0:4:22
242	17:00:30	17:04:52	0:4:22
245	17:00:30	17:04:58	0:4:28
249	17:04:58	17:09:09	0:4:10
254	17:04:58	17:09:15	0:4:16
251	17:04:58	17:09:15	0:4:17
253	17:04:58	17:09:18	0:4:19
255	17:04:58	17:09:18	0:4:19
248	17:04:58	17:09:24	0:4:25
250	17:04:58	17:09:30	0:4:31
252	17:04:58	17:09:30	0:4:31
263	17:09:31	17:13:54	0:4:23
261	17:09:31	17:13:57	0:4:26
260	17:09:31	17:13:57	0:4:26
259	17:09:31	17:13:58	0:4:27
257	17:09:31	17:14:02	0:4:30
258	17:09:31	17:14:02	0:4:31
262	17:09:31	17:14:05	0:4:33
256	17:09:31	17:14:07	0:4:35
270	17:14:07	17:18:12	0:4:5
267	17:14:07	17:18:21	0:4:14
264	17:14:07	17:18:25	0:4:18
266	17:14:07	17:18:28	0:4:21
269	17:14:07	17:18:30	0:4:22
268	17:14:07	17:18:30	0:4:23
271	17:14:07	17:18:32	0:4:24
265	17:14:07	17:18:32	0:4:25
277	17:18:33	17:22:24	0:3:51
278	17:18:33	17:22:32	0:3:59
279	17:18:33	17:22:46	0:4:12
275	17:18:33	17:22:51	0:4:18
273	17:18:33	17:22:56	0:4:23
272	17:18:33	17:22:57	0:4:24
274	17:18:33	17:22:58	0:4:25
276	17:18:33	17:23:00	0:4:27
287	17:23:00	17:27:15	0:4:14
283	17:23:00	17:27:19	0:4:18
285	17:23:00	17:27:21	0:4:20
286	17:23:00	17:27:25	0:4:24
280	17:23:00	17:27:28	0:4:28
284	17:23:00	17:27:29	0:4:28
281	17:23:00	17:27:30	0:4:30
282	17:23:00	17:27:32	0:4:31
291	17:27:32	17:31:54	0:4:21
295	17:27:32	17:31:55	0:4:22
289	17:27:32	17:31:56	0:4:24
288	17:27:32	17:31:58	0:4:26
290	17:27:32	17:32:01	0:4:28
293	17:27:32	17:32:01	0:4:29
294	17:27:32	17:32:05	0:4:32
292	17:27:32	17:32:09	0:4:36
302	17:32:09	17:36:31	0:4:22
298	17:32:09	17:36:33	0:4:24
300	17:32:09	17:36:37	0:4:27
301	17:32:09	17:36:39	0:4:30
296	17:32:09	17:36:40	0:4:30
303	17:32:09	17:36:41	0:4:31
297	17:32:09	17:36:46	0:4:36
299	17:32:09	17:36:47	0:4:38
307	17:36:48	17:41:10	0:4:21
310	17:36:48	17:41:10	0:4:22
309	17:36:48	17:41:13	0:4:25
305	17:36:48	17:41:14	0:4:25
311	17:36:48	17:41:15	0:4:26
304	17:36:48	17:41:19	0:4:31
308	17:36:48	17:41:20	0:4:31
306	17:36:48	17:41:22	0:4:34
312	17:41:23	17:45:54	0:4:31
315	17:41:23	17:45:57	0:4:34
318	17:41:23	17:45:57	0:4:34
316	17:41:23	17:45:58	0:4:35
314	17:41:23	17:46:00	0:4:37
313	17:41:23	17:46:01	0:4:37
317	17:41:23	17:46:04	0:4:41
319	17:41:23	17:46:05	0:4:42
327	17:46:06	17:50:27	0:4:20
325	17:46:06	17:50:32	0:4:26
322	17:46:06	17:50:35	0:4:29
326	17:46:06	17:50:36	0:4:30
324	17:46:06	17:50:36	0:4:30
320	17:46:06	17:50:37	0:4:31
323	17:46:06	17:50:37	0:4:31
321	17:46:06	17:50:38	0:4:31
330	17:50:38	17:55:02	0:4:24
332	17:50:38	17:55:05	0:4:27
329	17:50:38	17:55:05	0:4:27
334	17:50:38	17:55:08	0:4:29
331	17:50:38	17:55:08	0:4:30
335	17:50:38	17:55:09	0:4:31
328	17:50:38	17:55:11	0:4:33
333	17:50:38	17:55:12	0:4:34
343	17:55:12	17:59:35	0:4:22
342	17:55:12	17:59:37	0:4:24
336	17:55:12	17:59:37	0:4:24
338	17:55:12	17:59:39	0:4:26
341	17:55:12	17:59:40	0:4:28
337	17:55:12	17:59:42	0:4:29
339	17:55:12	17:59:42	0:4:29
340	17:55:12	17:59:46	0:4:33
345	17:59:46	18:04:12	0:4:25
348	17:59:46	18:04:12	0:4:26
347	17:59:46	18:04:14	0:4:27
350	17:59:46	18:04:16	0:4:29
344	17:59:46	18:04:17	0:4:30
349	17:59:46	18:04:17	0:4:30
351	17:59:46	18:04:19	0:4:32
346	17:59:46	18:04:22	0:4:36
356	18:04:23	18:08:48	0:4:25
359	18:04:23	18:08:48	0:4:25
