Index	Heure start
0	15:11:34
5	15:11:34
6	15:11:34
7	15:11:34
4	15:11:34
3	15:11:34
12	15:14:45
8	15:14:45
14	15:14:45
13	15:14:45
10	15:14:45
9	15:14:45
11	15:14:45
15	15:14:45
17	15:17:50
18	15:17:50
16	15:17:50
23	15:17:50
21	15:17:50
19	15:17:50
20	15:17:50
22	15:17:50
25	15:21:06
30	15:21:06
31	15:21:06
26	15:21:06
24	15:21:06
28	15:21:06
29	15:21:06
27	15:21:06
35	15:24:08
38	15:24:08
36	15:24:08
39	15:24:08
37	15:24:08
34	15:24:08
33	15:24:08
32	15:24:08
41	15:27:17
44	15:27:17
42	15:27:17
43	15:27:17
47	15:27:17
45	15:27:17
40	15:27:17
46	15:27:17
48	15:30:26
49	15:30:26
53	15:30:26
51	15:30:26
54	15:30:26
55	15:30:26
52	15:30:26
50	15:30:26
58	15:33:22
60	15:33:22
59	15:33:22
56	15:33:22
61	15:33:22
57	15:33:22
62	15:33:22
63	15:33:22
65	15:36:24
67	15:36:24
68	15:36:24
69	15:36:24
70	15:36:24
64	15:36:24
66	15:36:24
71	15:36:24
72	15:39:24
78	15:39:24
73	15:39:24
74	15:39:24
76	15:39:24
75	15:39:24
79	15:39:24
77	15:39:24
85	15:42:37
80	15:42:37
82	15:42:37
84	15:42:37
81	15:42:37
87	15:42:37
83	15:42:37
86	15:42:37
89	15:45:38
92	15:45:38
88	15:45:38
94	15:45:38
91	15:45:38
93	15:45:38
95	15:45:38
90	15:45:38
96	15:48:40
97	15:48:40
100	15:48:40
99	15:48:40
103	15:48:40
98	15:48:40
102	15:48:40
101	15:48:40
106	15:51:37
107	15:51:37
104	15:51:37
105	15:51:37
110	15:51:37
108	15:51:37
111	15:51:37
109	15:51:37
114	15:54:34
112	15:54:34
115	15:54:34
116	15:54:34
113	15:54:34
119	15:54:34
117	15:54:34
118	15:54:34
123	15:57:30
124	15:57:30
122	15:57:30
125	15:57:30
121	15:57:30
126	15:57:30
120	15:57:30
127	15:57:30
129	16:00:36
128	16:00:36
130	16:00:36
135	16:00:36
134	16:00:36
131	16:00:36
133	16:00:36
132	16:00:36
137	16:04:41
142	16:04:41
136	16:04:41
140	16:04:41
139	16:04:41
138	16:04:41
141	16:04:41
143	16:04:41
144	16:07:50
150	16:07:50
146	16:07:50
147	16:07:50
145	16:07:50
149	16:07:50
151	16:07:50
148	16:07:50
153	16:12:01
159	16:12:01
154	16:12:01
152	16:12:01
156	16:12:01
157	16:12:01
158	16:12:01
155	16:12:01
164	16:16:15
160	16:16:15
161	16:16:15
167	16:16:15
163	16:16:15
162	16:16:15
165	16:16:15
166	16:16:15
169	16:20:46
168	16:20:46
170	16:20:46
175	16:20:46
174	16:20:46
173	16:20:46
172	16:20:46
171	16:20:46
179	16:25:17
177	16:25:17
182	16:25:17
178	16:25:17
176	16:25:17
180	16:25:17
183	16:25:17
181	16:25:17
184	16:29:51
188	16:29:51
185	16:29:51
190	16:29:51
189	16:29:51
187	16:29:51
191	16:29:51
186	16:29:51
197	16:34:20
192	16:34:20
194	16:34:20
198	16:34:20
196	16:34:20
193	16:34:20
195	16:34:20
199	16:34:20
201	16:38:38
200	16:38:38
205	16:38:38
202	16:38:38
207	16:38:38
203	16:38:38
204	16:38:38
206	16:38:38
208	16:42:50
209	16:42:50
213	16:42:50
211	16:42:50
212	16:42:50
214	16:42:50
215	16:42:50
210	16:42:50
221	16:47:21
219	16:47:21
218	16:47:21
216	16:47:21
222	16:47:21
220	16:47:21
223	16:47:21
217	16:47:21
227	16:51:48
230	16:51:48
224	16:51:48
226	16:51:48
225	16:51:48
231	16:51:48
229	16:51:48
228	16:51:48
233	16:56:06
239	16:56:06
234	16:56:06
235	16:56:06
232	16:56:06
238	16:56:06
237	16:56:06
236	16:56:06
243	17:00:30
240	17:00:30
242	17:00:30
246	17:00:30
245	17:00:30
241	17:00:30
247	17:00:30
244	17:00:30
251	17:04:58
254	17:04:58
250	17:04:58
252	17:04:58
253	17:04:58
255	17:04:58
248	17:04:58
249	17:04:58
263	17:09:31
260	17:09:31
259	17:09:31
257	17:09:31
262	17:09:31
258	17:09:31
261	17:09:31
256	17:09:31
264	17:14:07
268	17:14:07
269	17:14:07
271	17:14:07
266	17:14:07
270	17:14:07
267	17:14:07
265	17:14:07
273	17:18:33
272	17:18:33
276	17:18:33
278	17:18:33
274	17:18:33
275	17:18:33
279	17:18:33
277	17:18:33
286	17:23:00
280	17:23:00
281	17:23:00
283	17:23:00
282	17:23:00
287	17:23:00
285	17:23:00
284	17:23:00
289	17:27:32
290	17:27:32
288	17:27:32
292	17:27:32
291	17:27:32
294	17:27:32
295	17:27:32
293	17:27:32
298	17:32:09
300	17:32:09
296	17:32:09
299	17:32:09
303	17:32:09
302	17:32:09
297	17:32:09
301	17:32:09
305	17:36:48
307	17:36:48
309	17:36:48
308	17:36:48
304	17:36:48
310	17:36:48
306	17:36:48
311	17:36:48
312	17:41:23
315	17:41:23
319	17:41:23
314	17:41:23
316	17:41:23
318	17:41:23
317	17:41:23
313	17:41:23
322	17:46:06
320	17:46:06
321	17:46:06
323	17:46:06
324	17:46:06
327	17:46:06
325	17:46:06
326	17:46:06
328	17:50:38
329	17:50:38
332	17:50:38
334	17:50:38
330	17:50:38
333	17:50:38
331	17:50:38
335	17:50:38
337	17:55:12
336	17:55:12
340	17:55:12
342	17:55:12
343	17:55:12
339	17:55:12
338	17:55:12
341	17:55:12
344	17:59:46
345	17:59:46
347	17:59:46
348	17:59:46
350	17:59:46
351	17:59:46
349	17:59:46
346	17:59:46
352	18:04:23
357	18:04:23
359	18:04:23
355	18:04:23
358	18:04:23
356	18:04:23
353	18:04:23
354	18:04:23
361	18:08:57
363	18:08:57
362	18:08:57
366	18:08:57
360	18:08:57
365	18:08:57
367	18:08:57
364	18:08:57
370	18:13:31
369	18:13:31
373	18:13:31
375	18:13:31
368	18:13:31
372	18:13:31
374	18:13:31
371	18:13:31
381	18:18:08
376	18:18:08
377	18:18:08
383	18:18:08
378	18:18:08
382	18:18:08
380	18:18:08
379	18:18:08
386	18:22:45
385	18:22:45
390	18:22:45
387	18:22:45
389	18:22:45
388	18:22:45
391	18:22:45
384	18:22:45
392	18:27:23
396	18:27:23
393	18:27:23
394	18:27:23
398	18:27:23
395	18:27:23
399	18:27:23
397	18:27:23
