Index	edge	1	2	3	4	5	6	7	8	9	finesse_moy	finesse_max	Area	Reward
0	1.579e-02	4.630e-02	7.176e-02	8.847e-02	6.651e-02	-5.025e-02	-6.430e-02	-2.462e-02	7.554e-01	-6.555e-02	1.759e-02	1.760e-02	2.048e-03	1.759e-02
0	3.440e-02	2.570e-02	9.440e-02	4.006e-02	1.161e-01	-4.039e-02	-8.820e-02	-1.929e-02	7.755e-01	-4.395e-02	7.517e-03	7.520e-03	2.136e-03	7.518e-03
0	3.039e-02	2.548e-02	8.462e-02	9.054e-02	8.780e-02	-7.303e-02	-6.591e-02	-6.294e-03	5.475e-01	-2.863e-02	1.425e-02	1.426e-02	2.147e-03	1.425e-02
0	4.096e-02	2.896e-02	7.424e-02	9.823e-02	6.726e-02	-4.627e-02	-7.119e-02	-6.182e-02	7.568e-01	-5.053e-02	1.611e-02	1.614e-02	2.360e-03	1.483e-02
0	1.730e-02	3.096e-02	7.412e-02	9.857e-02	4.719e-02	-5.167e-02	-3.780e-02	-3.234e-02	7.466e-01	3.395e-02	2.132e-02	2.133e-02	1.914e-03	1.899e-02
0	2.623e-02	2.299e-02	1.200e-01	8.922e-02	1.149e-01	-5.846e-02	-7.214e-02	-2.504e-02	7.204e-01	-3.253e-02	1.039e-02	1.048e-02	2.495e-03	-1.786e-02
0	2.355e-02	2.171e-02	1.044e-01	7.618e-02	1.410e-01	-2.037e-02	-8.573e-02	-3.772e-02	7.465e-01	-1.348e-02	5.001e-03	5.010e-03	2.417e-03	-7.670e-03
0	1.193e-02	3.084e-02	7.962e-02	8.129e-02	8.485e-02	-5.772e-02	-2.152e-02	-2.129e-02	7.831e-01	-8.397e-03	2.313e-02	2.314e-02	1.792e-03	-3.587e-03
1	3.559e-02	1.860e-02	2.833e-02	9.480e-02	4.907e-02	-6.804e-02	-2.480e-02	-1.848e-02	3.104e-01	-5.209e-02	1.887e-02	1.887e-02	1.493e-03	-6.779e-02
1	1.025e-02	3.492e-02	6.140e-02	9.238e-02	3.406e-02	-5.624e-02	-5.739e-02	-1.840e-02	7.757e-01	-5.222e-02	1.806e-02	1.810e-02	1.791e-03	-9.005e-03
1	2.590e-02	3.800e-02	6.591e-02	2.008e-02	9.957e-02	-5.188e-02	-6.828e-02	-1.728e-02	7.550e-01	-7.532e-02	9.076e-03	9.086e-03	1.756e-03	-2.495e-02
1	3.796e-02	2.878e-02	6.916e-02	9.765e-02	5.477e-02	-5.076e-02	-5.926e-02	-5.217e-02	7.463e-01	-2.354e-02	1.703e-02	1.704e-02	2.178e-03	1.703e-02
1	4.159e-02	4.431e-02	3.863e-02	9.153e-02	6.369e-02	-6.769e-02	-8.043e-02	-6.937e-02	7.496e-01	-8.204e-02	1.585e-02	1.586e-02	2.364e-03	1.384e-02
