Index	Heure start	Heure end	Durée
3	12:10:29	12:13:23	0:2:53
6	12:10:29	12:13:24	0:2:54
0	12:10:29	12:13:25	0:2:55
7	12:10:29	12:13:25	0:2:56
4	12:10:29	12:13:26	0:2:56
1	12:10:29	12:13:26	0:2:56
5	12:10:29	12:13:29	0:2:59
2	12:10:29	12:13:31	0:3:1
11	12:13:36	12:16:22	0:2:46
15	12:13:36	12:16:23	0:2:46
14	12:13:36	12:16:24	0:2:47
8	12:13:36	12:16:25	0:2:49
12	12:13:36	12:16:25	0:2:49
10	12:13:36	12:16:25	0:2:49
13	12:13:36	12:16:29	0:2:53
9	12:13:36	12:16:34	0:2:58
16	12:16:36	12:19:25	0:2:48
17	12:16:36	12:19:26	0:2:49
23	12:16:36	12:19:26	0:2:50
21	12:16:36	12:19:27	0:2:50
22	12:16:36	12:19:28	0:2:51
20	12:16:36	12:19:29	0:2:52
18	12:16:36	12:19:33	0:2:57
19	12:16:36	12:19:34	0:2:57
27	12:19:36	12:22:23	0:2:46
26	12:19:36	12:22:24	0:2:48
25	12:19:36	12:22:26	0:2:49
29	12:19:36	12:22:26	0:2:49
30	12:19:36	12:22:26	0:2:50
28	12:19:36	12:22:28	0:2:52
31	12:19:36	12:22:30	0:2:54
24	12:19:36	12:22:31	0:2:55
34	12:22:33	12:25:24	0:2:50
38	12:22:33	12:25:24	0:2:50
32	12:22:33	12:25:24	0:2:50
39	12:22:33	12:25:24	0:2:51
33	12:22:33	12:25:25	0:2:52
37	12:22:33	12:25:27	0:2:53
36	12:22:33	12:25:27	0:2:54
35	12:22:33	12:25:28	0:2:55
45	12:25:30	12:28:16	0:2:46
47	12:25:30	12:28:16	0:2:46
43	12:25:30	12:28:16	0:2:46
41	12:25:30	12:28:17	0:2:47
42	12:25:30	12:28:19	0:2:49
46	12:25:30	12:28:20	0:2:50
40	12:25:30	12:28:22	0:2:52
44	12:25:30	12:28:25	0:2:55
52	12:28:26	12:31:13	0:2:47
54	12:28:26	12:31:16	0:2:49
50	12:28:26	12:31:17	0:2:51
49	12:28:26	12:31:18	0:2:52
55	12:28:26	12:31:18	0:2:52
53	12:28:26	12:31:18	0:2:52
48	12:28:26	12:31:19	0:2:52
51	12:28:26	12:31:20	0:2:53
56	12:31:21	12:34:06	0:2:45
59	12:31:21	12:34:07	0:2:46
60	12:31:21	12:34:11	0:2:49
61	12:31:21	12:34:11	0:2:50
62	12:31:21	12:34:14	0:2:53
63	12:31:21	12:34:14	0:2:53
58	12:31:21	12:34:16	0:2:54
57	12:31:21	12:34:17	0:2:55
68	12:34:18	12:37:10	0:2:52
66	12:34:18	12:37:11	0:2:53
65	12:34:18	12:37:11	0:2:53
67	12:34:18	12:37:13	0:2:55
71	12:34:18	12:37:13	0:2:55
69	12:34:18	12:37:15	0:2:56
64	12:34:18	12:37:18	0:3:0
70	12:34:18	12:37:19	0:3:1
72	12:37:21	12:40:12	0:2:51
79	12:37:21	12:40:14	0:2:53
75	12:37:21	12:40:15	0:2:54
77	12:37:21	12:40:15	0:2:54
78	12:37:21	12:40:15	0:2:54
74	12:37:21	12:40:16	0:2:55
73	12:37:21	12:40:16	0:2:55
76	12:37:21	12:40:23	0:3:2
84	12:40:23	12:43:10	0:2:47
82	12:40:23	12:43:14	0:2:50
85	12:40:23	12:43:17	0:2:53
87	12:40:23	12:43:17	0:2:54
83	12:40:23	12:43:18	0:2:54
80	12:40:23	12:43:18	0:2:55
86	12:40:23	12:43:19	0:2:55
81	12:40:23	12:43:19	0:2:55
92	12:43:19	12:46:08	0:2:48
88	12:43:19	12:46:09	0:2:49
94	12:43:19	12:46:12	0:2:52
95	12:43:19	12:46:12	0:2:52
93	12:43:19	12:46:16	0:2:56
89	12:43:19	12:46:16	0:2:56
91	12:43:19	12:46:17	0:2:57
90	12:43:19	12:46:22	0:3:2
103	12:46:22	12:49:12	0:2:50
98	12:46:22	12:49:15	0:2:53
96	12:46:22	12:49:16	0:2:53
101	12:46:22	12:49:16	0:2:53
100	12:46:22	12:49:16	0:2:54
97	12:46:22	12:49:17	0:2:55
102	12:46:22	12:49:19	0:2:57
99	12:46:22	12:49:27	0:3:4
107	12:49:27	12:52:21	0:2:54
104	12:49:27	12:52:21	0:2:54
109	12:49:27	12:52:22	0:2:54
108	12:49:27	12:52:22	0:2:55
111	12:49:27	12:52:23	0:2:55
106	12:49:27	12:52:23	0:2:55
105	12:49:27	12:52:25	0:2:58
110	12:49:27	12:52:28	0:3:1
117	12:52:28	12:55:18	0:2:49
113	12:52:28	12:55:18	0:2:49
112	12:52:28	12:55:18	0:2:50
118	12:52:28	12:55:19	0:2:51
119	12:52:28	12:55:21	0:2:52
116	12:52:28	12:55:21	0:2:53
114	12:52:28	12:55:22	0:2:53
115	12:52:28	12:55:23	0:2:54
125	12:55:23	12:58:13	0:2:50
126	12:55:23	12:58:16	0:2:53
120	12:55:23	12:58:18	0:2:55
122	12:55:23	12:58:19	0:2:55
123	12:55:23	12:58:19	0:2:56
127	12:55:23	12:58:19	0:2:56
121	12:55:23	12:58:20	0:2:57
124	12:55:23	12:58:27	0:3:4
132	12:58:27	13:01:21	0:2:53
