Index	edge	1	2	3	4	5	6	7	8	9	finesse_moy	finesse_max	Area	Reward
0	1.394e-02	3.095e-02	8.918e-02	8.898e-02	9.003e-02	-5.079e-02	-7.240e-02	-3.427e-02	7.686e-01	-5.661e-03	2.752e-03	2.763e-03	3.692e-03	2.752e-03
0	2.099e-02	2.034e-02	2.418e-02	5.910e-02	4.441e-02	-6.011e-02	-5.777e-02	-3.520e-02	6.646e-01	-2.663e-02	-2.767e-03	-2.758e-03	2.486e-03	-1.301e-01
0	3.064e-02	2.439e-02	7.902e-02	8.079e-03	1.039e-01	-6.267e-02	-6.847e-02	-4.230e-02	7.633e-01	-4.307e-02	6.179e-03	6.203e-03	3.157e-03	6.180e-03
0	3.156e-02	3.947e-02	4.096e-02	9.416e-02	3.620e-02	-6.535e-02	-5.551e-02	-3.255e-02	6.375e-01	-2.574e-02	-4.776e-04	-4.322e-04	3.058e-03	-1.347e-02
0	1.998e-02	1.041e-02	8.819e-02	9.696e-02	4.907e-02	-2.449e-02	-8.050e-02	-1.930e-02	6.081e-01	-2.959e-02	2.471e-03	2.488e-03	3.163e-03	2.474e-03
0	2.996e-02	3.264e-02	1.016e-01	6.183e-02	5.582e-02	-6.344e-02	-5.828e-02	-8.281e-03	4.671e-01	-1.444e-02	-4.298e-03	-4.244e-03	3.206e-03	-4.299e-03
0	2.117e-02	2.269e-02	0.000e+00	8.924e-02	5.233e-02	-3.807e-03	-8.387e-02	-2.343e-02	4.842e-01	-5.077e-02	5.213e-03	5.270e-03	2.304e-03	-1.585e-01
0	4.121e-02	3.417e-02	5.989e-02	9.282e-02	6.879e-02	-5.881e-02	-8.676e-02	-1.000e-01	7.860e-01	-9.954e-02	1.961e-02	1.964e-02	4.275e-03	-7.201e-02
1	1.143e-02	2.674e-02	5.229e-02	3.937e-02	2.693e-02	-6.836e-02	-7.008e-02	-1.674e-02	7.448e-01	-3.562e-02	-6.677e-03	-6.668e-03	2.521e-03	-1.271e-01
1	1.933e-02	1.425e-02	5.330e-02	8.800e-02	8.301e-02	-1.975e-02	-6.196e-02	-1.273e-02	3.660e-01	-4.548e-02	4.580e-03	4.587e-03	2.654e-03	-8.916e-02
1	2.144e-02	2.748e-02	6.489e-02	8.655e-02	8.564e-02	-5.467e-02	-7.080e-02	-2.836e-02	7.541e-01	-1.388e-02	3.963e-03	3.996e-03	3.371e-03	3.965e-03
1	1.745e-02	1.564e-02	5.046e-02	8.347e-02	1.213e-01	-8.000e-02	-7.226e-02	-7.360e-03	4.502e-01	-6.537e-02	1.630e-03	1.674e-03	3.220e-03	1.618e-03
1	2.300e-02	1.187e-02	6.770e-02	8.935e-02	7.797e-02	-3.936e-02	-8.231e-02	-5.138e-02	7.725e-01	-1.893e-02	6.885e-03	6.896e-03	3.511e-03	6.884e-03
1	1.645e-02	4.939e-02	8.415e-02	4.847e-02	4.421e-02	-6.654e-02	-7.348e-02	-2.011e-02	7.489e-01	-5.298e-02	-3.631e-03	-3.620e-03	3.218e-03	-3.633e-03
1	2.631e-02	5.610e-02	5.347e-02	9.252e-02	6.162e-02	-4.771e-02	-7.295e-02	-5.165e-02	7.553e-01	8.297e-02	-8.201e-04	-8.062e-04	3.719e-03	-8.150e-04
1	3.054e-02	2.907e-02	4.073e-02	8.765e-02	1.336e-01	-5.692e-02	-5.690e-02	-2.383e-02	6.043e-01	-4.342e-02	-4.466e-03	-4.446e-03	3.234e-03	-4.462e-03
2	1.798e-02	1.589e-02	7.099e-02	7.385e-02	5.505e-02	-6.061e-02	-8.460e-02	-1.163e-02	6.191e-01	-7.817e-03	-1.371e-04	-1.338e-04	3.106e-03	-3.598e-03
2	2.161e-02	2.364e-02	3.026e-02	6.863e-02	1.061e-01	-7.308e-02	-4.992e-02	-3.998e-02	5.678e-01	-6.314e-02	4.483e-03	4.531e-03	2.968e-03	-2.658e-02
2	1.565e-02	2.910e-02	6.986e-02	7.780e-02	8.964e-02	-3.959e-02	-9.445e-02	-1.720e-02	7.663e-01	-4.366e-02	8.092e-03	8.107e-03	3.365e-03	8.096e-03
2	2.311e-02	3.236e-02	8.340e-02	9.170e-02	7.522e-02	-7.590e-02	-6.872e-02	-3.788e-02	5.439e-01	-7.475e-02	3.106e-03	3.126e-03	3.771e-03	3.107e-03
2	2.649e-02	1.487e-02	7.335e-02	7.725e-02	6.796e-02	-6.281e-02	-6.896e-02	-1.660e-02	5.355e-01	1.047e-02	1.097e-03	1.114e-03	3.157e-03	1.093e-03
2	2.429e-02	3.270e-02	8.776e-02	8.827e-02	9.312e-02	-6.404e-02	-7.634e-02	-4.193e-02	6.399e-01	1.508e-02	6.401e-04	6.498e-04	3.966e-03	-2.923e-02
2	1.844e-02	4.237e-02	9.350e-02	8.927e-02	8.270e-02	-6.542e-02	-7.209e-02	-2.926e-02	7.669e-01	7.363e-02	-5.327e-03	-5.317e-03	3.915e-03	-2.494e-02
2	2.179e-02	3.861e-02	3.962e-02	8.788e-02	9.013e-02	-6.553e-02	-6.958e-02	-6.533e-02	5.757e-01	9.625e-03	5.024e-03	5.048e-03	3.694e-03	5.022e-03
3	2.676e-02	3.514e-02	5.871e-02	8.975e-02	6.707e-02	-6.306e-02	-7.841e-02	-2.089e-02	5.245e-01	-3.609e-02	1.427e-03	1.440e-03	3.384e-03	1.426e-03
3	2.294e-02	1.479e-02	7.419e-02	9.103e-02	8.789e-02	-5.138e-02	-8.684e-02	-3.315e-02	7.482e-01	2.853e-02	1.899e-03	1.906e-03	3.634e-03	1.898e-03
3	2.371e-02	3.347e-02	8.387e-02	9.440e-02	8.284e-02	-6.342e-02	-7.538e-02	-6.766e-02	6.531e-01	-4.902e-03	3.967e-03	3.981e-03	4.162e-03	-6.512e-02
3	2.823e-02	2.849e-02	8.654e-02	9.465e-02	9.567e-02	-5.995e-02	-7.920e-02	-4.844e-02	6.982e-01	-5.241e-02	7.789e-03	7.906e-03	4.021e-03	-3.301e-02
3	2.073e-02	1.898e-02	7.446e-02	6.019e-02	3.338e-02	-5.747e-02	-7.557e-02	-2.379e-02	6.525e-01	-5.964e-03	-1.990e-03	-1.981e-03	2.979e-03	-3.084e-02
3	1.857e-02	1.922e-02	8.871e-02	8.947e-02	1.448e-01	-6.089e-02	-9.260e-02	-2.381e-02	6.002e-01	2.799e-02	-3.680e-03	-3.661e-03	4.067e-03	-5.374e-02
3	1.887e-02	2.146e-02	6.250e-02	6.215e-02	6.731e-02	-5.094e-02	-6.976e-02	-2.135e-02	6.828e-01	-8.035e-03	1.524e-03	1.528e-03	2.918e-03	-3.954e-02
3	2.847e-02	1.103e-02	6.407e-02	9.622e-02	3.670e-02	-7.421e-02	-8.803e-02	-1.606e-02	5.213e-01	-3.234e-02	3.487e-05	4.361e-05	3.292e-03	3.262e-05
4	3.069e-02	1.075e-02	5.555e-02	9.405e-02	5.213e-02	-7.470e-02	-7.378e-02	-2.341e-02	5.166e-01	2.941e-02	-5.360e-04	-5.241e-04	3.236e-03	-5.385e-04
4	2.685e-02	1.805e-02	6.253e-02	9.419e-02	4.070e-02	-5.879e-02	-9.264e-02	-2.321e-02	7.472e-01	-3.510e-02	2.042e-03	2.048e-03	3.335e-03	2.039e-03
4	2.127e-02	2.532e-02	6.014e-02	8.917e-02	1.263e-01	-8.000e-02	-8.332e-02	-2.654e-02	7.604e-01	4.196e-02	-1.097e-03	-1.070e-03	3.839e-03	-5.573e-03
4	2.159e-02	7.654e-03	6.090e-02	9.764e-02	6.257e-02	-5.868e-02	-8.391e-02	-3.315e-03	4.134e-01	-4.220e-02	2.541e-03	2.553e-03	3.060e-03	-1.010e-02
4	3.579e-02	2.484e-02	8.744e-02	9.060e-02	6.939e-02	-5.935e-02	-8.277e-02	-2.098e-02	7.564e-01	7.716e-02	-5.706e-03	-5.697e-03	3.734e-03	-5.703e-03
4	2.223e-02	3.269e-02	8.646e-02	8.469e-02	3.733e-02	-7.657e-02	-8.482e-02	-2.375e-02	7.499e-01	2.314e-02	-6.354e-03	-6.341e-03	3.657e-03	-6.359e-03
4	2.014e-02	0.000e+00	7.509e-02	9.974e-02	6.190e-02	-5.642e-02	-9.881e-02	-1.108e-02	6.395e-01	-5.791e-02	7.369e-03	7.383e-03	3.342e-03	7.371e-03
4	3.004e-02	1.536e-02	9.205e-02	9.157e-02	4.083e-02	-5.405e-02	-8.692e-02	-2.622e-02	3.727e-01	1.263e-01	-1.040e-02	-1.038e-02	3.611e-03	-1.039e-02
5	2.240e-02	1.886e-02	6.985e-02	9.351e-02	5.294e-02	-4.606e-02	-8.343e-02	0.000e+00	6.528e-01	-4.760e-02	2.237e-03	2.255e-03	3.025e-03	-1.736e-02
5	1.755e-02	1.452e-02	4.765e-02	9.234e-02	5.148e-02	-3.445e-02	-7.466e-02	-1.011e-02	7.475e-01	-4.177e-02	2.549e-03	2.561e-03	2.675e-03	-8.712e-02
5	2.801e-02	1.358e-02	7.589e-02	9.794e-02	1.849e-02	-5.922e-02	-9.887e-02	-1.351e-02	7.499e-01	-8.458e-02	5.437e-03	5.447e-03	3.292e-03	5.437e-03
5	4.009e-02	4.529e-03	4.911e-02	9.461e-02	7.891e-02	-3.529e-02	-8.798e-02	-2.868e-02	7.481e-01	-4.074e-02	6.707e-03	6.717e-03	3.183e-03	6.708e-03
5	2.967e-02	8.918e-03	8.314e-02	9.699e-02	7.993e-02	-6.207e-02	-9.757e-02	-8.024e-03	4.776e-01	-1.390e-02	2.540e-03	2.582e-03	3.616e-03	2.537e-03
5	3.262e-02	2.538e-02	5.111e-02	9.405e-02	1.499e-02	-6.773e-02	-1.000e-01	-8.133e-03	6.286e-01	-8.749e-02	3.770e-03	3.776e-03	3.145e-03	3.771e-03
5	2.624e-02	1.012e-02	6.495e-02	8.796e-02	4.712e-02	-5.032e-02	-7.249e-02	-1.476e-02	3.646e-01	-3.290e-02	-1.885e-04	-1.828e-04	2.938e-03	-3.721e-02
5	2.346e-02	1.154e-02	8.720e-02	1.000e-01	3.010e-02	-6.155e-02	-8.558e-02	-2.373e-02	7.480e-01	-6.799e-03	-3.989e-03	-3.960e-03	3.472e-03	-3.994e-03
6	3.545e-02	1.648e-02	6.562e-02	9.984e-02	4.184e-02	-5.629e-02	-1.000e-01	-1.443e-02	7.599e-01	1.895e-02	-1.467e-03	-1.459e-03	3.449e-03	-1.468e-03
6	2.822e-02	3.143e-02	6.794e-02	6.467e-02	4.621e-02	-5.662e-02	-8.150e-02	-1.865e-02	7.951e-01	-2.111e-02	-1.043e-03	-1.026e-03	3.131e-03	-1.039e-03
6	4.783e-02	2.943e-02	8.259e-02	9.527e-02	5.172e-02	-5.906e-02	-9.841e-02	-7.586e-03	6.110e-01	-1.502e-02	7.484e-04	7.652e-04	3.688e-03	7.440e-04
6	2.550e-02	1.197e-02	7.743e-02	8.995e-02	3.618e-02	-6.536e-02	-8.885e-02	-1.895e-02	7.679e-01	-3.155e-02	3.102e-04	3.158e-04	3.335e-03	3.109e-04
6	3.606e-02	0.000e+00	5.755e-02	9.172e-02	0.000e+00	-6.550e-02	-1.000e-01	0.000e+00	4.735e-01	-1.000e-01	3.845e-03	3.864e-03	2.845e-03	-5.181e-02
6	2.310e-02	5.923e-03	5.419e-02	1.000e-01	4.972e-02	-6.857e-02	-1.000e-01	-1.299e-02	3.000e-01	-9.572e-02	7.266e-03	7.289e-03	3.258e-03	7.240e-03
6	2.660e-02	1.726e-02	6.805e-02	9.350e-02	2.826e-02	-1.980e-02	-1.000e-01	-1.277e-02	7.431e-01	-7.109e-02	8.172e-03	8.196e-03	2.998e-03	-1.677e-02
6	2.738e-02	1.772e-02	5.518e-02	9.392e-02	5.113e-02	-4.507e-02	-8.827e-02	-2.833e-02	5.535e-01	-4.050e-02	3.477e-03	3.499e-03	3.227e-03	3.474e-03
7	2.120e-02	3.460e-02	6.397e-02	9.064e-02	4.696e-02	-6.158e-02	-9.563e-02	-9.123e-03	7.576e-01	-4.021e-02	2.808e-03	2.811e-03	3.359e-03	2.809e-03
7	2.528e-02	2.042e-02	7.178e-02	9.162e-02	4.953e-02	-3.110e-02	-9.783e-02	-1.834e-02	5.205e-01	4.897e-02	-1.689e-04	-1.416e-04	3.325e-03	-1.777e-04
7	2.482e-02	2.611e-02	8.120e-02	9.736e-02	6.202e-02	-6.694e-02	-9.842e-02	-2.025e-02	6.542e-01	-3.983e-02	4.400e-03	4.433e-03	3.775e-03	4.414e-03
