Index	Heure start
:29
2	12:10:29
10	12:13:36
8	12:13:36
13	12:13:36
15	12:13:36
12	12:13:36
11	12:13:36
9	12:13:36
14	12:13:36
17	12:16:36
16	12:16:36
21	12:16:36
22	12:16:36
19	12:16:36
20	12:16:36
18	12:16:36
23	12:16:36
25	12:19:36
27	12:19:36
31	12:19:36
28	12:19:36
24	12:19:36
26	12:19:36
30	12:19:36
29	12:19:36
39	12:22:33
35	12:22:33
36	12:22:33
37	12:22:33
32	12:22:33
34	12:22:33
33	12:22:33
38	12:22:33
43	12:25:30
42	12:25:30
45	12:25:30
41	12:25:30
44	12:25:30
40	12:25:30
46	12:25:30
47	12:25:30
48	12:28:26
53	12:28:26
50	12:28:26
55	12:28:26
52	12:28:26
51	12:28:26
54	12:28:26
49	12:28:26
58	12:31:21
57	12:31:21
56	12:31:21
59	12:31:21
62	12:31:21
61	12:31:21
63	12:31:21
60	12:31:21
64	12:34:18
66	12:34:18
70	12:34:18
65	12:34:18
67	12:34:18
69	12:34:18
68	12:34:18
71	12:34:18
78	12:37:21
73	12:37:21
74	12:37:21
75	12:37:21
76	12:37:21
77	12:37:21
79	12:37:21
72	12:37:21
85	12:40:23
81	12:40:23
80	12:40:23
82	12:40:23
84	12:40:23
86	12:40:23
83	12:40:23
87	12:40:23
93	12:43:19
89	12:43:19
91	12:43:19
92	12:43:19
95	12:43:19
88	12:43:19
94	12:43:19
90	12:43:19
98	12:46:22
101	12:46:22
97	12:46:22
99	12:46:22
103	12:46:22
96	12:46:22
100	12:46:22
102	12:46:22
104	12:49:27
105	12:49:27
109	12:49:27
107	12:49:27
106	12:49:27
108	12:49:27
111	12:49:27
110	12:49:27
113	12:52:28
116	12:52:28
112	12:52:28
118	12:52:28
115	12:52:28
114	12:52:28
117	12:52:28
119	12:52:28
121	12:55:23
123	12:55:23
120	12:55:23
125	12:55:23
122	12:55:23
126	12:55:23
127	12:55:23
124	12:55:23
129	12:58:27
132	12:58:27
131	12:58:27
134	12:58:27
128	12:58:27
130	12:58:27
133	12:58:27
135	12:58:27
137	13:01:34
136	13:01:34
138	13:01:34
139	13:01:34
142	13:01:34
143	13:01:34
141	13:01:34
140	13:01:34
145	13:04:27
146	13:04:27
148	13:04:27
151	13:04:27
150	13:04:27
149	13:04:27
147	13:04:27
144	13:04:27
155	13:07:30
154	13:07:30
152	13:07:30
159	13:07:30
158	13:07:30
153	13:07:30
156	13:07:30
157	13:07:30
160	13:10:32
161	13:10:32
164	13:10:32
167	13:10:32
163	13:10:32
162	13:10:32
166	13:10:32
165	13:10:32
168	13:13:32
169	13:13:32
171	13:13:32
174	13:13:32
170	13:13:32
175	13:13:32
172	13:13:32
173	13:13:32
178	13:16:34
176	13:16:34
182	13:16:34
180	13:16:34
177	13:16:34
179	13:16:34
183	13:16:34
181	13:16:34
185	13:19:35
190	13:19:35
189	13:19:35
188	13:19:35
184	13:19:35
186	13:19:35
187	13:19:35
191	13:19:35
197	13:22:37
194	13:22:37
192	13:22:37
193	13:22:37
199	13:22:37
198	13:22:37
195	13:22:37
196	13:22:37
201	13:25:37
205	13:25:37
204	13:25:37
206	13:25:37
207	13:25:37
203	13:25:37
202	13:25:37
200	13:25:37
208	13:28:37
214	13:28:37
211	13:28:37
209	13:28:37
210	13:28:37
212	13:28:37
215	13:28:37
213	13:28:37
216	13:31:34
217	13:31:34
219	13:31:34
222	13:31:34
223	13:31:34
220	13:31:34
218	13:31:34
221	13:31:34
226	13:34:41
227	13:34:41
229	13:34:41
224	13:34:41
230	13:34:41
225	13:34:41
231	13:34:41
228	13:34:41
239	13:37:42
233	13:37:42
234	13:37:42
236	13:37:42
235	13:37:42
237	13:37:42
232	13:37:42
238	13:37:42
241	13:40:40
243	13:40:40
242	13:40:40
244	13:40:40
247	13:40:40
245	13:40:40
246	13:40:40
240	13:40:40
253	13:43:40
248	13:43:40
254	13:43:40
249	13:43:40
251	13:43:40
255	13:43:40
250	13:43:40
252	13:43:40
258	13:46:38
257	13:46:38
256	13:46:38
262	13:46:38
261	13:46:38
263	13:46:38
259	13:46:38
260	13:46:38
265	13:49:39
269	13:49:39
266	13:49:39
267	13:49:39
270	13:49:39
268	13:49:39
264	13:49:39
271	13:49:39
273	13:52:36
272	13:52:36
274	13:52:36
278	13:52:36
276	13:52:36
277	13:52:36
275	13:52:36
279	13:52:36
283	13:55:40
280	13:55:40
282	13:55:40
281	13:55:40
286	13:55:40
287	13:55:40
284	13:55:40
285	13:55:40
289	13:58:40
290	13:58:40
293	13:58:40
288	13:58:40
295	13:58:40
291	13:58:40
292	13:58:40
294	13:58:40
296	14:01:48
298	14:01:48
297	14:01:48
301	14:01:48
302	14:01:48
300	14:01:48
303	14:01:48
299	14:01:48
304	14:04:50
307	14:04:50
310	14:04:50
309	14:04:50
308	14:04:50
305	14:04:50
306	14:04:50
311	14:04:50
313	14:07:55
317	14:07:55
318	14:07:55
319	14:07:55
316	14:07:55
312	14:07:55
314	14:07:55
315	14:07:55
320	14:10:53
321	14:10:53
324	14:10:53
327	14:10:53
322	14:10:53
323	14:10:53
326	14:10:53
325	14:10:53
329	14:14:00
332	14:14:00
328	14:14:00
334	14:14:00
331	14:14:00
330	14:14:00
335	14:14:00
333	14:14:00
338	14:16:58
337	14:16:58
339	14:16:58
340	14:16:58
343	14:16:58
342	14:16:58
336	14:16:58
341	14:16:58
345	14:20:07
347	14:20:07
348	14:20:07
344	14:20:07
346	14:20:07
351	14:20:07
350	14:20:07
349	14:20:07
355	14:23:14
352	14:23:14
359	14:23:14
357	14:23:14
354	14:23:14
356	14:23:14
353	14:23:14
358	14:23:14
360	14:26:27
361	14:26:27
365	14:26:27
364	14:26:27
367	14:26:27
366	14:26:27
362	14:26:27
363	14:26:27
369	14:29:24
368	14:29:24
374	14:29:24
373	14:29:24
372	14:29:24
375	14:29:24
370	14:29:24
371	14:29:24
377	14:32:25
376	14:32:25
379	14:32:25
378	14:32:25
382	14:32:25
383	14:32:25
381	14:32:25
380	14:32:25
385	14:35:26
390	14:35:26
386	14:35:26
388	14:35:26
384	14:35:26
391	14:35:26
389	14:35:26
387	14:35:26
392	14:38:31
393	14:38:31
394	14:38:31
396	14:38:31
395	14:38:31
399	14:38:31
397	14:38:31
398	14:38:31
